01-201005-230705_bem_fb0_elicit_0  APO PENE CATENDEKA NO KUPUNDA KU FIBIVE ACITI MWE MWE MWE
01-201005-230705_bem_fb0_elicit_1  ICALI MUPEPI ACTI NGA CINSHI BUSHE LYALIKATWA
01-201005-230705_bem_fb0_elicit_2  NACO ACITI SOMONE ALA PALI AKANTU
01-201005-230705_bem_fb0_elicit_3  CILYA ICIBIYE CAISA NOMBA FYONSE FIBILI FYAYAMBA UKWITA IFINABO FIMBI FYONSE FYALONGANA NA PALYA PENE 
01-201005-230705_bem_fb0_elicit_4  KUTI UKUMONA UTUNTU UTWINGI UTULESALAKATA PA MUMANA FYASUNGUKA SANA 
01-201005-230705_bem_fb0_elicit_5  APALI CIMO ACITI ALA EFYO ISABI LISANGUKA IFF FINE ILI LINE E SABI 
01-201005-230705_bem_fb0_elicit_6  MUKAMONA PA NSHIKU SHINONO LIKAKULA 
01-201005-230705_bem_fb0_elicit_7  APA MUMWENE LYONSE ILI NALIKATILWA LIMO MU ISUMBU TALYAKAFUMEMO LEKENI PA NSHIKU ISHI TUKABA NO MUNANI
01-201005-230705_bem_fb0_elicit_8  FYONSE FYASUMINA AFITI EYA MWANDI CINECINE NOMBA TUKASHUKILA UMUNANI UWINGI
01-201005-230705_bem_fb0_elicit_9  PANUMA YA MULUNGU UMO ILYO FYABWELELEKO FYASANGA BATOMBOLILO NE MITWE IKALAMBA NE MICILA NO TUMOLU
01-201005-230705_bem_fb0_elicit_10  FYALOLEKESHA CIMO ACITI ALA MITA YEKAYEKA EFYO IBA PA KUKULA AMOLU YAKAFUMAKO NGA YAKULA 
01-201005-230705_bem_fb0_elicit_11  FYONSE FYASUMINA
01-201005-230705_bem_fb0_elicit_12  PATI PAPITE UMULUNGU UMBI FYAMONA IMICILA E IPUTAWIKEKO AMOLU NAYASHALA
01-201005-230705_bem_fb0_elicit_13  NOMBA FYALASUNGUKA FYE NE FYAKUCITA FYABULA 
01-201005-230705_bem_fb0_elicit_14  PANUMA YA NSHIKU SHIMOSHIMO FYAMONA NOMBA FYABA FYULA FINABO E FYAFUMA MULI BATOMBOLILO 
01-201005-230705_bem_fb0_elicit_15  AWE LYENA FYATEMWA NGANSHI 
01-201005-230705_bem_fb0_elicit_16  AFITI EYA MWANDI KANSHI NOMBA CAWAMA KANSHI EFYO TWAKULACITA PAKUTI TUKAFULE 
01-201005-230705_bem_fb0_elicit_17  TUKASALANGANINE NA MU MANIKA YONSE AYO LESA MUKULU APANGA MUNO CALO
01-201005-230705_bem_fb0_elicit_18  APA PENE EPO NE FYULA FYAISHIBILE UBUFYASHI BWA FIKO NA LINO LINE EFYO FICITA PA KUFYALA ABANA 
01-201005-230705_bem_fb0_elicit_19  PALI KANTUNSE KAPELA
01-201005-230705_bem_fb0_elicit_20  UMUNTU AILE KU KUUPA AFIKA MU MUSHI UMO AUPA NO KUUPA 
01-201005-230705_bem_fb0_elicit_21  ATI EKALE AKASHITA KU BUKO AMONA ABABIYE BA MU MUSHI ULYA BONSE BALI BALUNSHI BALEBAMBA UTUMAMA TWA MU MPANGA 
01-201005-230705_bem_fb0_elicit_22  AKUMBWA NAO UKUTI ALELUNGA E CALENGA ATENDEKA NAO UKULUNGA 
