03-200924-200908_bem_798_elicit_0  ECALENGA ABUTUKILE KU NCENDE YA BULWI KUKUKUMANYA GALYATI 
03-200924-200908_bem_798_elicit_1  ALWILE MUKUICETEKELA NO KWIPAYA ICILWANI
03-200924-200908_bem_798_elicit_2  MUPASHI WA MUSHILO ALAPILIBULA IFINTU
03-200924-200908_bem_798_elicit_3  BUSHE ABASHILIKA BA MU MULALO WAKWA SHAULI NGA BALICIMFISHE 
03-200924-200908_bem_798_elicit_4  PALI UBUPUSANO PALI DABIDI NABENA 
03-200924-200908_bem_798_elicit_5  DABIDI ALISUBILWE UKUBA IMFUMU YA BANTU BAKWE MU NSHITA SHA KUNTANSHI KABILI UKUFUMA BULYA BUSHIKU MUPASHI WAKWA LESA ALI PALI WENE MU MAKA 
03-200924-200908_bem_798_elicit_6  DABIDI AKWETE AMAKA YA BU LESA MULI WENE E MUPASHI WA MUSHILO WINE 
03-200924-200908_bem_798_elicit_7  ECALENGELE UKUTI ABE UWATEKANYA ILINTU ILI PAKA ILYALEPELE MIKONO IBILI NA CITIKA LYALEMUSUSHA PAMO NO KUMUTIPA 
03-200924-200908_bem_798_elicit_8  ECALENGELE UKUTI ATONTE BWINO ILEKENI NELYO ENA AIMININE APALUNGATENE NE FUMO LYA MULWANI WAKWE 
03-200924-200908_bem_798_elicit_9  KABILI ECALENGELE UKUTI AMWENE UBU BULWI MU MIMWENE YA BU LESA 
03-200924-200908_bem_798_elicit_10  PAMULANDU WAKUTI ALI UWASUBWA NA MUPASHI WA MUSHILO TACAMWANSHISHE UKULWA BULYA BULWI
03-200924-200908_bem_798_elicit_11  UWATETEKELA ONSE ALISUBWA KUKUBA IMFUMU NGA IWE 
03-200924-200908_bem_798_elicit_12  BUSHE EPAPELELA AMATONTONKANYO YOBE AYAKUBA KACIMFYA MU BULWI BWAKUKANA ULUBEMBU NA WISHI WALUKO KASEBANYA 
03-200924-200908_bem_798_elicit_13  NAKALYA INSHITA SHALIPILIBUKA 
03-200924-200908_bem_798_elicit_14  MU CIPINGO CA KALE MUPASHI WA MUSHILO ALEIKALAFYE PA NTUNGULUSHI ISHALESONTWA 
03-200924-200908_bem_798_elicit_15  LELO SHIKULU WESU YESU KRISTU APEELA CILA MWINA KRISTU UMUPASHI WA MUSHILO KUKUBA ICANSO NANGU ICAKUTUCINGILILA FWE BONSE UMO UMO 
03-200924-200908_bem_798_elicit_16  UMUNTU NGA ABULWO MUPASHI WAKWA KRISTU WENE TE MWINA MWAKWE IYO 
