03-200925-050356_bem_798_elicit_0  BUSHE IMWE NINSHI TAMWALWISHISHE UKUTI BAMUCINJE UKUYA KU MUSUMBA UKALAMBA
03-200925-050356_bem_798_elicit_1  TACALI ICAANGUKA PANTU ABENGI BALESESHIWA PA MULANDU WAKULUFYANYA 
03-200925-050356_bem_798_elicit_2  LELO INE PAMULANDU WA KUKWATA UBUNTE BUSUMA NGO MWINA KRISTU TABAFWAILE UKUTI BANSESHE NJE KUMBI 
03-200925-050356_bem_798_elicit_3  NA PAKULEKELESHA EFYO NAISANGILA NASUMBULWA PAMULANDU WAKUBA UWACISHINKA
03-200925-050356_bem_798_elicit_4  BUSHE IMIPEPELE PA CHOZI YALI SHANI ILYO MWALIKO
03-200925-050356_bem_798_elicit_5  TAYALI BWINO SANA 
03-200925-050356_bem_798_elicit_6  PALI ILYA NSHITA IFILONGANINO IFYALIKO FYE NI UCZ BAKATOLIKA BA AFRICAN NATIONAL CHURCH NE NTE SHAKWA YEHOVA 
03-200925-050356_bem_798_elicit_7  IFWE ILYO TWALIKO TWALELONGANA NA BA UCZ 
03-200925-050356_bem_798_elicit_8  TWATWALILILE UKUCITA IFYO PAMWAKA UMO MPAKA ILYO TWAIMIKE ULUKUTA ULULIPO ILELO PALYA ULWA CHOZI CMML CHURCH 
03-200925-050356_bem_798_elicit_9  PALI NOMBA IFINTU NAFICINJA SANA 
03-200925-050356_bem_798_elicit_10  PANTU IFILONGANINO FYA BA PENTECOST 
03-200925-050356_bem_798_elicit_11  BA NEW APOSTOLIC CHURCH NE CILONGANINO ICINONO ICA BA BAPTIST FYALITENDEKA UMULIMO NAFYO
03-200925-050356_bem_798_elicit_12  PAKWIMINIKA ICILONGANINO MWACITILE SHANI
03-200925-050356_bem_798_elicit_13  MUKWAI KWALI KENSHA WE SHITIMA NA UMBI UWAISHILE UYO UWALELONGANA KALE KU CHRISTIAN BRETHREN 
03-200925-050356_bem_798_elicit_14  PANUMA YAKULONGANA NA BA UCZ PAMWAKA UMO TWASUMINISHENYE FWE NDUPWA SHIBILI UKUTI TUTENDEKE UKULALONGANA PA LWESU 
03-200925-050356_bem_798_elicit_15  NECI CALI MU MWAKA WA NINETEEN EIGHTY FOUR 
03-200925-050356_bem_798_elicit_16  TWATENDEKE UKULAKUMANINA PE SUKULU KABILI NO KULABILA INGANDA NE NG'ANDA 
03-200925-050356_bem_798_elicit_17  ICI CALENGELE ABANTU ABENGI UKWISHIBA ULWA IFWE NE CILONGANINO EFYO CAILE CILEKULA
03-200925-050356_bem_798_elicit_18  CATUSENDELE INSHITA UKUFIKA MU NINETEEN EIGHTY SIX ELYO MUKUBOMBELA PAMO NA BENA KRISTU UKUFUMA KU MPIKA TWAISHILE LEMBESHA ICILONGANINO UKUTI CILEITWA MWISHINA LYA CHRISTIAN BRETHREN CHURCH 
03-200925-050356_bem_798_elicit_19  IFI EFYO CALI KABILI EFYO TWAISHILE KWATA NE NCENDE IYO TWAKUULILEPO KACIKULWA AKANONO
03-200925-050356_bem_798_elicit_20  FINTU NSHI FIMO IFYAMWAFWILISHE UKUFUNTULA UMULIMO
03-200925-050356_bem_798_elicit_21  NDETONTONKANYA UKUTI NI BUCISHINKA BWA BWINA KRISTU EBWALENGELE UKUTI TWISHIBIKWE UKUTI TWALI ABAKOSA MULI BUKAPEPA BWESU
03-200925-050356_bem_798_elicit_22  PA NCITO INE NAMUNYINA UYO ALI NI NGULUBE UMO TWALI ABAISHIBIKWA MU KUIPEELA KWESU NGA BENA KRISTU ABO ABAIMININA PAKUBOMBELA SHIKULU NA PA SHANCITO APO TWALEBOMBA
03-200925-050356_bem_798_elicit_23  ICI ECATWAFWILE PAKUBALILAPO 
03-200925-050356_bem_798_elicit_24  ICABUBILI TWALI ABAIPEELESHA KUKUBILA TE KU NG'ANDA NE NG'ANDAFYE LELO TWALESABANKANYA NO TUPEPALA TWA MBILA NSUMA NO KULANDA KU BANTU AMASHIWI YAKWA LESA 
03-200925-050356_bem_798_elicit_25  TATWALEYA MU NCENDE SHA MUTALI ICO MULI SHILYA NSHIKU SHAKUBALILAPO MU MYAKA YA MU NINETEEN EIGHTY ABEKALA CALO ABENA CHOZI BATUMWENE FWEBABOMFI ABAFUMINE KUNCENDE SHIMBI MUNO ZAMBIA NGA BAMWISA 
03-200925-050356_bem_798_elicit_26  TABALETUPOKELELA MU MISHI YABO NA PA MAYANDA YABO
03-200925-050356_bem_798_elicit_27  KANSHI TWALEBALOLELAFYE PA NSHITA ISHO BALEISA MU KUSHITA IFINTU ILYO ISHITIMA LILEPITA ELYO TWALEBA KUMANYA NO KULANDA NABO 
03-200925-050356_bem_798_elicit_28  LELO NGA NI MU MISHI YABO MWENA BALETUKAANA NO KUTUTAMFYA
03-200925-050356_bem_798_elicit_29  BUSHE MWALIKWETEKO IFINTU FIMO IFYAKONGWELAKO ABANTU PAMO NGA UKUTAMBISHA UBUNKOLANYA NANGU AMABUMBA UKUFUMA KUMBI UKWISA KUKUMWAFWA MU MULIMO
03-200925-050356_bem_798_elicit_30  MUKWAI TATWALEBOMFYA UBUNKOLANYA NANGU UKUBILA KWA PALWALALA 
03-200925-050356_bem_798_elicit_31  LELO NI PANUMA YAKUPITA INSHITA NINSHI NE CILONGANINO NACIMIKWA ELYO TWASAMBILISHIWE AMASAMBILILO YA BUKATANDA
03-200925-050356_bem_798_elicit_32  LYENA TWALEKWATA UKUBILA KWA PALWALALA KABILI NALYO LINE TATWALI ABAKUMANISHA IFYAKUBOMFYA 
03-200925-050356_bem_798_elicit_33  KABILI KUTI NALANDA UKUTI MU MYAKA YAKUBALILAPO 
03-200925-050356_bem_798_elicit_34  TWALEPITANA NGANSHI ICAKUTI TAKWALEBA NOKULAPEKANYA IFINTU NE NCITO IYOO TWALEBOMBA TAYALETUSHILA INSHITA BWINO IYAKUBOMBELAMO IMILIMO YAMUSANGO UYU
03-200925-050356_bem_798_elicit_35  BUSHE MWALIKWETE ABALEMWAFWILISHA UKUFUMA MUNO ZAMBIA NANGU KUNSE YA CALO
03-200925-050356_bem_798_elicit_36  ABAKALAMBA BAMO UKUFUMA KU MALAMA MU KASAMA ILYO BAUMFWILE UKUTI NATUTENDEKA UMULIMO BALISHILEKO UMUKU UMO NANGU IBILI
03-200925-050356_bem_798_elicit_37  ICI CALI CILONGANINO UKO TWALELONGANA MULI SHILYA NSHIKU ILYO TWAFIKILE MU KASAMA 
03-200925-050356_bem_798_elicit_38  NANGU CIBE IFYO BA MUNYINEFWE UKUFUMA MU MPIKA BALITUTANDALILE PA NSHIKU SHIBILI KABILI BALITWAFWILEKO NE NDALAMA ELYO NA MATAFWALI YAKUKUULILA ICILONGANINO
03-200925-050356_bem_798_elicit_39  KABILI KWALI NO KULANSHANYA UKUSUMA MWISAMBA LYA CIMUTI ICIKALAMBA ICABA PALYA NA NOMBA
