01-201012-180720_bem_fb0_elicit_0  NOMBA NGA SHAFUMA SHONSE  NINSHI SHASANDANA 
01-201012-180720_bem_fb0_elicit_1  LIMBI KUTI ULUPETA LUMO LWINE LWALYA ISHIBIYE SHIBILI ATEMWA SHITATU UKU E KULYA KOBILIKOBILI
01-201012-180720_bem_fb0_elicit_2  UKULYA KUMBI E MUKUTI ILYO IMPETA SHILECINDA MU IBETA
01-201012-180720_bem_fb0_elicit_3   ELYO LUMO BALUTEKA PAKATI ISHI SHIBILI MUMBALI SHALUKONTELA PAMO NOMBA BALUPELA AMAKA LWENA LWAWA FYE PANSHI 
01-201012-180720_bem_fb0_elicit_4  ISHI SHIBILI SHAFUMINA NA KUNSE YE BETA NINSHI LWANYA 
01-201012-180720_bem_fb0_elicit_5  UMWINE WA LUKO APUNDA NO KUPUNDA ATI KUBILI EE KOBILIKOBILI NGA MASUKU
01-201012-180720_bem_fb0_elicit_6  AKALUPETA NELYO KABE KANONO KUTI KANYA PANTU KUTI KALESHINTILILA KU SHIBIYE 
01-201012-180720_bem_fb0_elicit_7  MULI IYI NSHILA NA BACELA NELYO FILYA FINE IFIKALAMBA KUTI FYALIWA KU KANONO
01-201012-180720_bem_fb0_elicit_8  UUSHIKWETE BUTETE NELYO AKWATE IMPETA ISHINGI SHANI NELYO EKELE APO AISHIBILA NAKALYA KUTI BAMUKUFYA NELYO AKWATE BACELA SHANI 
01-201012-180720_bem_fb0_elicit_9  UBUTETE BULALUKA KUTI UWACILYA IMPETA ISHINGI NAO BAISA MU KUMULYA NGA ASHAMA BAMUKUFYA FYE SHONSE 
01-201012-180720_bem_fb0_elicit_10  NGA AIBUKISHA KALYA KALISHIWI KAKUTI ICIFULO CIMO CIPWE MEPTA ELYO AISAIMA AYAIKALA PAMBI
01-201012-180720_bem_fb0_elicit_11  LIMBI NGA ASHUKA KUTI AYA MU KULYA LELO NGA EMINE NALO NOKO AYA LUMO LWINE 
01-201012-180720_bem_fb0_elicit_12  KU KUTA IMPETA TAKWABA MUTI WA KUBIKAKO NANGU UWAKUSHIKILA IYO BASOSA FYE PAKUTI ABABEBUKA BALETA MWENSOMWENSO BALEBALYA 
01-201012-180720_bem_fb0_elicit_13  ABENE ABAISHIBA IMPETA BATILA UMUTI WA MPETA FIKANSA
01-201012-180720_bem_fb0_elicit_14  UMUTI WA BUTETE PA MPETA KUKOSHA MU MINWE PA KUTA 
01-201012-180720_bem_fb0_elicit_15  ABENGI ABAKUFYA ABANABO NO KUKWATA IMPETA ISHINGI MU MBUKULI SHABO BENEBENE NI BAPESHE 
01-201012-180720_bem_fb0_elicit_16  KUTI NA MU KANWA MWAUMA NA NDI KU KUSABAULA AMATE KASUBA KONSE NI NKAKASHI SHINE SHINE PA KUSHINASHA KANO WAITA ABAFWA 
01-201012-180720_bem_fb0_elicit_17  ABO  TE BAKWIMINA SAMBA NINSHI ULEBWELAPO FYE
01-201012-180720_bem_fb0_elicit_18  ABA MUSANGO UYU BENA TABAFWAYA KULIWA KUTI NGA BABALYA BENA KUFINSHA KANO FYE E BALELYA BEKA E BAMUKOLO CIWAMINE 
01-201012-180720_bem_fb0_elicit_19  KABILI BACENJELE NGANSHI KULI MUSOKO
01-201012-180720_bem_fb0_elicit_20  IYE MAYO NGA CAKUTI BAKUMANA BEKABEKA
01-201012-180720_bem_fb0_elicit_21  ALA LYENA KUTI WATI FYE NALIMO ICALO CALAPWA KUTI BALEPAATA NGE NKUBA PAMBI BALAFUNDIKA NE NKONYA 
01-201012-180720_bem_fb0_elicit_22  NOMBA NELYO CIBA IFYO BALEBUKISHA LYONSE UKUTI IMPETA CANGALO FYE 
01-201012-180720_bem_fb0_elicit_23  ELYO KANSHI NGA KWABA BAMO ABAKUSHINSHINTISHA KUTI BAIKALA BALATA FYE NAKABILI NO KUSEKA BALASEKA
01-201012-180720_bem_fb0_elicit_24  NA BAFIKANSA BENE NABO BALABAKUFYA KULI BA CIPASHI CITALELE LELO SHIMO BALAFIFILA KU MULANDU WA BUKAKASHI
01-201012-180720_bem_fb0_elicit_25  ABATA IMPETA SHA KULWISHA NGA BALEKA BALASENDA IMPETA BALILE KU MAYANDA KUMWABO 
01-201012-180720_bem_fb0_elicit_26  ISHO MPETA NINSHI SHASANGUKA SHABO BALI NO KUSHIBOMFYA IFYO BATEMENWE
01-201012-180720_bem_fb0_elicit_27  KUMFWA ULYA BATEKELEKO FYE KULI UMBI ENE ALI NO KUYATULA KULI ULYA ALI AMUTEKELE ELYO NAO AMWAKANYAKO
01-201012-180720_bem_fb0_elicit_28  IMPETA TE CANGALO CAKUFUMYAKO UMUTIMA IYO CALIFUKILA 
01-201012-180720_bem_fb0_elicit_29  KUTI NOKO BALELILA AMALI TE  KWAKUSANGWA KUYA MU KUTOOLA FYE IFIMBALA KU KATI KA NG'ANDA
