01-201011-234841_bem_fb0_elicit_0  IMPETA MIKOLI YA FITWALO FYA MU ISONDE IFITWALA KU MIPETA 
01-201011-234841_bem_fb0_elicit_1  IMIPETA TAYAFULA MU CALO IYO YATULISHA FYE KU CHIISHA KU CHUNGU NA KU CHILWA
01-201011-234841_bem_fb0_elicit_2  IMPETA CANGALO ICAPIKILA NGANSHI KABILI NO KUTEMWIKWA KU BALUMENDO BA MISHINKU YONSE 
01-201011-234841_bem_fb0_elicit_3  NA BAKALAMBA NABO BENE BALANGALAKO
01-201011-234841_bem_fb0_elicit_4  PA KUKWATA IMPETA KUSHITOOLA ATEMWA UKUBOMBELA NO KUSHITA KU BATOOLA KALE ABAPALAMA UKO SHITWALA 
01-201011-234841_bem_fb0_elicit_5  ABAKWATA IMPETA BATECLA PAMO KWALIBA SHIMO ISHAKWESHA FYE NE SHAKULWISHA
01-201011-234841_bem_fb0_elicit_6  INTANSHI TABALATENDEKA KUTA BABALA BABUMBA IBETA UMWAKUTEELA 
01-201011-234841_bem_fb0_elicit_7  NGA TAPALI IBETA UKUTA TETI KULONDOLOKE
01-201011-234841_bem_fb0_elicit_8  PA KUBUMBA IBETA BABULA ILOBA LYA MU MUKANDA ILYAKONDA ATEMWA BAIMBA KU CULW BALITUNTILA NAPO BALEFWAILA UKUBUMBILA 
01-201011-234841_bem_fb0_elicit_10  NGA BABUMBA BWINO BABIKA NE SHILILO BAPWA BAYA NOMBA KU KUFWAYA INDOLO YA KUBIKA MU IBETA PAKUTI MWATELELA IMPETA SHILENENA BWINOBWINO 
01-201011-234841_bem_fb0_elicit_11  UMULOLO KUTI BATWA BASANTIKILA LIMBI BASHETA FYE ELYO BASHINGWILA MU IBETA
01-201011-234841_bem_fb0_elicit_12  KWALIBA IMPETA SHIMO ISHAPAMINWA ISHO BABIKAMO UMUTOFWE BAPAMINA MU FIPUNDA ESHO BATILA BACELA LELO ISHISHAPAMINWA E MISUMBI 
01-201011-234841_bem_fb0_elicit_13  KWALIBA NA SHIMBI ISHAFUNDUMANA NA TUNYONDANYONDA NA SHIMATAPALA
01-201011-234841_bem_fb0_elicit_14  IMPETA NGA SHAKWESHA FYE UUKWETE IMPETA ALI NO KUTEKAKO ABABIYE BONSE UMO BAPELELE BALATA NO KUTA BALEKUFYANYA NO KUKUFYANYA 
01-201011-234841_bem_fb0_elicit_15  UMO NGA AKUFYA ABABIYE BONSE KUTI AUMFWA ICILUMBA SANA 
01-201011-234841_bem_fb0_elicit_16  ALAIMBA NA KALWIMBO ATI IFWE TULI BA BUTETE SOKWESOKWE NE LYANDE LYA MPETA TWALI KUTE MPETA NA BASHIMWANSA MPINIKA 
01-201011-234841_bem_fb0_elicit_17  ICI CIFI ICI CAFYE ICI CANDI INE NDI KATYETYE MUSANTA KULU
01-201011-234841_bem_fb0_elicit_18  PA KUSOSA AKA KALILUMBO NINSHI NABIKA NE MPETA MU MINWE NAFUMBATA 
01-201011-234841_bem_fb0_elicit_19  ELYO ALESHIFIKINA SHILELILA NO KULILA ALESONTA NA BABIYE ABASHILI NA BUTETE ALESOSA NA MASHIWI AYO YENE TULEMBELE PAMULU 
01-201011-234841_bem_fb0_elicit_20  KABILI NGA CABASEKESHA UUKUFISHE ATEKAKO ABABIYE BALATA NAKABILI
01-201011-234841_bem_fb0_elicit_21  IMPETA NGA SHAKULWISHA AMASANGE TAYAFULA SANA PANTU CILA MUNTU KUTI NAISHIBA UKUTI NGA BANKUFYA NDESHALA MU MENSO POKO 
01-201011-234841_bem_fb0_elicit_22  EICO KANSHI BALASAKAMANA NGANSHI LYONSE ILYO BALETA IIMPETA SHA KULWISHA NELYO ISHAKUTA FYE BALASHINGULUKA IBETA 
01-201011-234841_bem_fb0_elicit_23  BAMO BATEMWA UKWIKALILA PE SHILILO PAKUTI CILEBANGUKILA PA KUPINIKA ABANABO 
01-201011-234841_bem_fb0_elicit_24  BAMBI NABO BATEMWA UKWIKALILA KU MULU WE BETA PAKUTI BALEPULUMUNA ISHA KUPULUMUNUNA 
01-201011-234841_bem_fb0_elicit_25  BAMBI NABO MUPEPI NE SHILILO PE BALEESHAKO PA KUTA ABANABO MUSOKO 
01-201011-234841_bem_fb0_elicit_26  BAMO BATA LUNWE NA BAISHIBA CIKOFI 
01-201011-234841_bem_fb0_elicit_27  E MULANDU WINE PA KWIKALA BAFWAYA MU FIFULO IFIBALINGILE KU KUSO NELYO KULYO 
01-201011-234841_bem_fb0_elicit_28  PA KULWISHA PENE KUTI CILA MUNTU NAIKWATILA IMPETA SHAKWE BACELA NE MISUMBI CINTOBENTOBE 
01-201011-234841_bem_fb0_elicit_29  NGA IMPETA SHILI MU IBETA UMUNTU ONSE ALESHIBA ULUPETA LWAKWE NGA LWALYA NANGU EO BALYA
01-201011-234841_bem_fb0_elicit_30  UKULYA  E MUKUTILA  IMPETA NGA SHAKONTANA ULWAFUMINA KUNSE NINSHI BALULYA 
