01-201013-132016_bem_fb0_elicit_0  UKUSABA IFISABO FYA MPANGA
01-201013-132016_bem_fb0_elicit_1  KOLWE WAKOTA ASABILWA NA BANA
01-201013-132016_bem_fb0_elicit_2  PALI ILI LYASHI NI CINTOBENTOBE NSHASOSE PA BALUMENDO BEKA LELO BONSE _PAMO NA BAKASHANA 
01-201013-132016_bem_fb0_elicit_3  MU NSHITA YA LUSUBA NE MIBUNDO IFYAKULYA IFINGI IFYA MU MPANGA FILASEMPUKA E NSHITA FIPYA FYAFUMA MU BUBISHI
01-201013-132016_bem_fb0_elicit_4  IFI FILYO FYAKULILA MONSE UMO ULEFWAILA 
01-201013-132016_bem_fb0_elicit_5  NGA ULEFWAYA UKUMONONA ATEMWA UKUBIKAKO AMENSHI NIWE MWINE CIFU CA NGULUBE CITEMWA MWINE
01-201013-132016_bem_fb0_elicit_6  IFITWALO FIMONAIKA LIBILILIBILI NI MPUNDU IMFUNGO AMASUKU INSOKOLOBE NO TUMINU IFITUNGULU NA FIMBI IFYO NSHINGAKUMAMO UKUTANTAWILA FYONSE
01-201013-132016_bem_fb0_elicit_7  ABAICE BONSE PAMO ABALUMENDO NA BAKASHANA EMO BAYUMFWA ULUKULA MU KUBOMBA UYU MULIMO WA KUPALAMIKA IFITWALO KU MUSHI KU BAFYASHI BABO
01-201013-132016_bem_fb0_elicit_8  ILYO IFITWALO FIMBI FISHILAPYA IMPUNDU SHAPYA FYE KALE MU LUSUBA SHALIBONGA SHAKASHIKA NA CEE NINSHI TACILAFIKA NA KU MIBUNDO 
01-201013-132016_bem_fb0_elicit_9  ABALUMENDO NA BAKASHANA BEMA FYE ISESE PA KUYA KU KUTOLA IMPUNDU MU FIPYA NA MU MITENGO 
01-201013-132016_bem_fb0_elicit_10  TABALABA KUSENDA MISEKE UMWA KUTOLELA NO TUSEMBE TWA KUIPANGASHA
01-201013-132016_bem_fb0_elicit_11  NGA BAFIKA MU ISAMBA LYA MUPUNDU KUTENDEKA UKUTOLA NO KULABIKA MU MISEKE 
01-201013-132016_bem_fb0_elicit_12  NGA SHAPONA ISHINGI KUTI BAISUSHA IMISEKE BWANGUBWANGU BALABWELELA NA KU MUSHI 
01-201013-132016_bem_fb0_elicit_13  TABANINAKO KABILI TABASAILA ABAKALAMBA BALABALESHA ABATI MWILAONAULA FILYO
01-201013-132016_bem_fb0_elicit_14  LINTU BAFIKA KU MUSHI BANYINABO NA BANAKULWIBO BALABASENGELA NO KUBAPOKELELA IFYO BASENDELE 
01-201013-132016_bem_fb0_elicit_15  EE BAYAFISHA PA MWINSHI 
01-201013-132016_bem_fb0_elicit_16  NOMBA BAPILWAPILWA UKUWAMYA FILYA FYAKULYA BATWALILAKO NA BAUME PA NSAKA
01-201013-132016_bem_fb0_elicit_17  KUTI BASALAMO ISHIPILE BWINO ESHO BABATWALILAKO 
