02-200916-202947_bem_197_elicit_1  UMUNNTU UWAMUTEMBO UUPOKELELA ABENI
02-200916-202947_bem_197_elicit_2  ABANA BAKWE BAKONKAFYE MIMISANGO YAKWE
02-200916-202947_bem_197_elicit_3  UKUBOMBAKOFYE UMULIMO PANONO ELYO WAFILWA UKUBOMBA ICISHUPILE SANA
02-200916-202947_bem_197_elicit_4  UMULANDU UWAYAFYA KABILI UWAKAKATA
02-200916-202947_bem_197_elicit_5  UMUNTU INCENJESHI UNTU MUSHINGACETEKELA
02-200916-202947_bem_197_elicit_6  UBUKALI BUMO TABWAWAMA PANTU KUTI WAILETELELA PAKULEKELESHA
02-200916-202947_bem_197_elicit_7  WILASEKA ILYO UMUNTU UMBI ALUFYANYA UFWILE WAMWALULULA PANTU LIMBI UBUPUMBU BWAKWE KUTI BWALETELELAMO NAIWE WINE
02-200916-202947_bem_197_elicit_8  ILYO WAKWATA IFILYO IFINGI KUTI WAITA NABAMBI UKUTI BAKWAFWEKO IMILIMO PAMO NGEYAKULELA ABANA
02-200916-202947_bem_197_elicit_9  KUTIWAKWATA FYE UBUSOMBOSHI UBUSUMA NGAWALIPOSELEKO AMANO PAKULIMA
02-200916-202947_bem_197_elicit_10  UMUNTU UWACITA UBUCENDE
02-200916-202947_bem_197_elicit_11  ILYO WAYAFWILISHA UMUNOBE NAIWE BUSHIKU BUMBI KUTI AISAKWAFWILISHAKO
02-200916-202947_bem_197_elicit_12  WANDEKELESHA
02-200916-202947_bem_197_elicit_13  UMUCINSHI WA MUNTU USHINTILILA PAFYO IFIKOLWE FYAKWE FYAISHIBIKWE
02-200916-202947_bem_197_elicit_15  UKUKOSESHAKO UMULANDU
02-200916-202947_bem_197_elicit_16  UMUNTU UUSHIBULWA MIMILANDU NANGU UMUKALAMBA UWITWA LYONSE MUKUKABULULA IMILANDU
02-200916-202947_bem_197_elicit_17  UKULOLELA KUSUMA KUTI WAKWATA IFISUMA
02-200916-202947_bem_197_elicit_18  MUKUFWAYAFICITIKE BWANGU EMUBA UKULUFYANYA
02-200916-202947_bem_197_elicit_19  PAKUTENDEKA UKULAPELA ABAPONGOSHI IFISUMA KANO UMWANA WABO ALEKUSUNGA BWINO
02-200916-202947_bem_197_elicit_20  KULABA INSHITA IMO IYAKUTI TAPALI NANGU CIMO ICO
02-200916-202947_bem_197_elicit_21  UMUPUPU NAKABILI LINE AKABWELA KUNTU AIBILE TUKAMWIKATA
02-200916-202947_bem_197_elicit_22  UBUTALA TABUMONEKA UKONDA IYO LELO NGATAMULI FILYO UMWINE KUTI AFWA KUNSALA
02-200916-202947_bem_197_elicit_24  UMWANAKASHI WA PAMBALI ILYO ULELOLELA UKUUPA UMUKASHI UWAYANA
