03-200921-162447_bem_798_elicit_0  UMUTITIKISHA WAMU NDUPWA NAMU MAYANDA MU BANTU ABABA MU BWAMPANO BWA LGBTIQ
03-200921-162447_bem_798_elicit_1  MU CALO CA AUSTRALIA UMUTITIKISHA WAMU NDUPWA NAMU MAYANDA TAWASUMINISHIWA
03-200921-162447_bem_798_elicit_2  ABANTU ABOPANA NA BANAKASHI BANABO 
03-200921-162447_bem_798_elicit_3  ABOPANA NABAUME BANABO 
03-200921-162447_bem_798_elicit_4  ABAKWATA IMIBELE YACANAKASHI PAMO PENE NEYA CAUME 
03-200921-162447_bem_798_elicit_5  ABAKUMBWA UKUPANA NABONSE ABAUME PAMO PENE NABANAKASHI BALIKWATA INSAMBU SHIMO SHINE MU CALO CA AUSTRALIA 
03-200921-162447_bem_798_elicit_6  ELYO UKUBAKANKAMBA MULANDU NGANSHI
03-200921-162447_bem_798_elicit_7  MU CALO CA AUSTRALIA UBWAMPANO UBULI BONSE BWALISUMINISHIWA NE FUNDE 
03-200921-162447_bem_798_elicit_8  ICI CILEPILIBULA UKUTI ABAUPANA BONSE UKUBIKAPO NABONSE ABAUPANA NABAUME BANABO NANGU ABAUPANA NABANAKASHI BANABO
03-200921-162447_bem_798_elicit_9  BALIKWATA INSAMBU ISHAKUBA MU BWAMPANO NA UKUPANA
03-200921-162447_bem_798_elicit_10  UMUNTU ONSE ALIKWATA INSAMBU ISHAKUBA MU BWAMPANO UBUSUMA KABILI UBWACINGILILWA NE NDUPWASHABO IFIBUSANABATEMWIKWABABO
03-200921-162447_bem_798_elicit_11  UMUTITIKISHA WA MUNDUPWA NAMU MAYANDA MULANDU NGANSHI UMUNTU UWACITA UYU MULANDU KUTI AKAKWA ABE MWAUME NANGU MWANAKASHI
03-200921-162447_bem_798_elicit_12  UBUTEKO BWA CALO CA AUSTRALIA TABUSUMINISHAUMUTITIKISHAWAMUNDUPWA NAMU MAYANDA NANGU PANONO
03-200921-162447_bem_798_elicit_13  UMUTITIKISHA WAMU NDUPWA NAMU MAYANDA MULASANGWA IMISANGO NANGU ICINTINYA IFIMININA PAKUPINDULULA UMUNOBE 
03-200921-162447_bem_798_elicit_14  UKUPITILA MUKUMULETELA UMWENSO NANGU UKUMONAWILA UMUTENDE 
03-200921-162447_bem_798_elicit_15  IFISANGWA MULI UYU MUTITIKISHA NIFI
03-200921-162447_bem_798_elicit_16  UKUUMA
03-200921-162447_bem_798_elicit_17  UKUKAMA PAMUKOSHI
03-200921-162447_bem_798_elicit_18  UKUTANA UMUNOBE NANGU LUPWA INDALAMA SHAKUBOMFYA
03-200921-162447_bem_798_elicit_19  UKUTALUSHA UMUNOBE KU FIBUSA NANGU KU LUPWA
03-200921-162447_bem_798_elicit_20  UKUTUKANANANGUUKUKONKANYAPOFYEUKUSUUSHAUMUNOBE 
03-200921-162447_bem_798_elicit_21  ELYONA UKUTIINYA ABAICE NANGU IFITEEKWA
03-200921-162447_bem_798_elicit_22  UMUTITIKISHA WAMU NDUPWA NAMU MAYANDA MU BANTU ABABA MU BWAMPANO BWA LGBTIQ KUTI MWASANGWA IFINTU PAMO NGEFI
03-200921-162447_bem_798_elicit_23  ICINTINYA CAKUBOMFYA UMUBELE WA MUNTU MUKUMUCUSHISHAKO PAMO NGA 
03-200921-162447_bem_798_elicit_24  UWAKUKWATA IMIBELE YA BWAUME PAMO NO BWANAKASHI 
03-200921-162447_bem_798_elicit_25  IMIBELEYAMIPANGILWEYAKWEIYAKUPANGAICUPO 
03-200921-162447_bem_798_elicit_26  UMUBELEWAKWEUWABWANAKASHINANGU UBWAUME 
03-200921-162447_bem_798_elicit_27  IMYUMFWILE YAKWE IYA BWANAKASHI NANGU UBWAUME NANGU UKUKWATA AKASHISHI KA HIV
03-200921-162447_bem_798_elicit_28  ICINTINYA CA KUSALANGANYA ILYASHI LYA MUNTUKULIBA LUPWA NA IFIBUSA MUNCENDE EKALA NANGU PA NCITO
03-200921-162447_bem_798_elicit_29  UKULAPINDULULAIMYUNDAPILWEYAMUNTU NANGU KUMILIMO YONSE IIKUMINE UMUBELE WAKWE UWA BWAUME NANGU UBWANAKASHI BWAKWE KU FYABUMI FYONSE NANGU
03-200921-162447_bem_798_elicit_30  UKUPATIKISHA UMUNTU UKUTI ASUMINE KUNTAMBI SHIMO ISHA MIPANGILE YA CUPO
03-200921-162447_bem_798_elicit_31  MWALIBAKO UTUBUNGWE UTWALEKENALEKANA MU CALO CA AUSTRALIA UTWINGAMYAFWILISHA
03-200921-162447_bem_798_elicit_32  ACON KABUNGWE AKAPEELA ILYASHI ILYA LUTU PA MULANDU WA BUMI ILIKUMINE ABANTU ABA MWIBUMBA LYA LGBTIQ UKUBIKAPO NA UMUTITIKISHA WA MU NDUPWA NA MAYANDA 
03-200921-162447_bem_798_elicit_33  KABIYENI PE BUULA LYAPA INTANETI ILYA KABUNGWE KA ACON PA WWWACONORGAU PAKUTI MUMONE IMILIMO YABWAFWILISHO IYATANTIKWA IIKUMINE BA LGBTIQ
03-200921-162447_bem_798_elicit_34  ONE EIGHT ZERO ZERO RESPECT KABUNGWE KAMU CALO CA AUSTRALIA AKABOMBELA MUKUPANDA AMANO MU MILANDU YA KULUNGANA NABANTU KU MAKA ELYO NO BUNKALWE NO MUTITIKISHA MU MAYANDA 
03-200921-162447_bem_798_elicit_35  AKA KABUNGWE KALAPELAKO ILYASHI LYABU MPANDA MANO ILYA LUTU KABILI ILYA NKAMA PALI LAMYA ELYO NAPA INTANETI 
03-200921-162447_bem_798_elicit_36  BA MPANDAMANO BAKOMFWA KULI FINTU MULELANDA UKWASUKA AMEPUSHO YENU ELYO NOKUMITUMA KUMBI UKO MWINGASANGA UBWAFWILISHO MU NCENDE YENU 
03-200921-162447_bem_798_elicit_37  TUMENI PA ONE EIGHT ZERO ZERO SEVEN THREE SEVEN SEVEN THREE TWO
03-200921-162447_bem_798_elicit_38  NANGU KABIYENI PE BUULA LYAPA INTANETI ILYA ONE EIGHT ZERO ZERO RESPECT APO MWALASANGA ILYASHI LYONSE ILIKUMINE BA LGBTIQ PA WWWONE EIGHT ZERO ZERO RESPECTORGAU
