03-200923-215451_bem_798_elicit_0  FULWE ALEENDAFYE PANONO PANONO
03-200923-215451_bem_798_elicit_1  ALIFYE UMUNONO 
03-200923-215451_bem_798_elicit_2  ILYO ALECILUKA UMUSEBO NALEPITA UKUYA KU MPIKA
03-200923-215451_bem_798_elicit_3  ELYO KWASHELEFYE KWEMPE NGA NALIMUNYANTILE
03-200923-215451_bem_798_elicit_4  LELO MOTOKA WANDI MUKALAMBA TALI BWAFYA KULI ENA 
03-200923-215451_bem_798_elicit_5  TATENDEKE UKUBUTUKA IYOO 
03-200923-215451_bem_798_elicit_6  ENA ECO AISHIBE CAKUTI NINCINGILILWA ICIPANGA CANDI CILENCINGILILA
03-200923-215451_bem_798_elicit_7  PAMO NGA DABIDI 
03-200923-215451_bem_798_elicit_8  ILYO BALEMUTINYA KWIPAKA ILYALEITWA GALIATI ALIWAPAMA UKUFIKAPO NINCINGILILWA LESA WANDI NANCINGILILA 
03-200923-215451_bem_798_elicit_9  BELENENI UKWAMBA PE BULA FOUR ICALENGELE UYU MULUMENDO UKUBA UWAMPAMFU
03-200923-215451_bem_798_elicit_10  INCENDE IMO PA NCENDE ISHALEKELESHIWA MU BWIKASHI BWA CILONGANINO NI NCENDE YE SENGE
03-200923-215451_bem_798_elicit_11  NANGULA TUKUMANA CILA MULUNGU ILINGI LINE TWISAFYE PAMO LELO TE SENGE ICINE CINE 
03-200923-215451_bem_798_elicit_12  SHIKULU WESU YESU KRISTU ATILE UKUPITILA UKUTEMWANA UMO NO MUNANKWE EKO ABANTU BONSE BAKAMWISHIBILA UKUTI MULI BASAMBI BANDI
03-200923-215451_bem_798_elicit_13  LYO ABENA MUPALAMANO BENU BALOLESHA PA NKUTA MU MUSUMBA NANGULA MU MUSHI MWIKALA 
03-200923-215451_bem_798_elicit_14  BUSHE BALEISHIBA ABALI ABASAMBI ABENE BENE ABAKWA YESU KRISTU IFYO BABA 
03-200923-215451_bem_798_elicit_15  TE KUPITILA MU FYO TWASUMINAMO NANGU MU FIKULWA FYESU NANGU MU FYATANTIKWA LELO UKUPITILA MU CITEMWIKO CESU EMO TWISHIBIKILWA 
03-200923-215451_bem_798_elicit_16  BELENGENI UKUFUMA PE BULA ELEVEN PAFYO CILONGANINO CENU CINGABA ICILONGANINO CA BENA KRISTU ICINE CINE
03-200923-215451_bem_798_elicit_17  UNO MUKU MULI IYI MAGAZINE MWALASANGAMO UKUTI FINTU FIMO NAFICINJISHIWA
03-200923-215451_bem_798_elicit_18  TULESUBILA UKUTI MWALASEKELAMO MU KUBELENGA KWENU ELYO NO KUTILA LESA ENGAMUKUULA NO KUMUKOSELESHA KONSE UKO MULI 
