03-200925-062606_bem_798_elicit_0  TWAISHIBO KUTI YESU KRISTU AKWATA UMUBILI WAKWE PANO ISONDE 
03-200925-062606_bem_798_elicit_1  KABILI ABATETEKELA BONSE BABA MULI UYU MUBILI NELYO BENGABA MU NKUTA SHESU NANGU MU NKUTA SHIMBI 
03-200925-062606_bem_798_elicit_2  PAMULANDU WAKUTI IFYABUPE FINTU SHIKULU YESU ATUPEELE FYABA IFYAKUBOMBELAKO PAKUKULA UMUBILI WAKWE 
03-200925-062606_bem_798_elicit_3  TULINGILE UKUSALANGANYA ICI CITABO KU BANTU BONSE ABALEFWAYA UKUBELENGA
03-200925-062606_bem_798_elicit_4  TWILABO KUTI ULUKUTA ULULI LONSE NELYO INKUTA ISHIBOMBELA PAMO BALIKWATA IFINTU IFYO BAKABILA UKULANSHANYAPO NO KUSAMBILILA
03-200925-062606_bem_798_elicit_5  PAMO PENE NA MU CIPINGO ICEBO CAKWA LESA MWABA AMAKALATA YAMO AYALEMBELWE KU NKUTA SHIMO 
03-200925-062606_bem_798_elicit_6  MULI AYO MAKALATA ABATUMWA BALEMBELE PAMULANDU WA FINTU FIMO PAMO NA MAFYA YANTU ABALIMO BALEKWATA 
03-200925-062606_bem_798_elicit_7  NAPALI INO NSHITA AYO MAKALATA YABELAPO KUKUSAMBILISHA ABANTU BONSE PANTU KUTI YABAKUULA MU MISANGO YA BWIKALO INTU BASANGWAMO
03-200925-062606_bem_798_elicit_8  IFYO FINE NA KULI ICI CITABO CA NATULEYA 
03-200925-062606_bem_798_elicit_9  AKABUNGWE KESU KAMONA UKUTILA NELYO AMASAMBILILO AYENGI KUTI YABOMBA UKWAFWILISHA ABENA KRISTU BA MU NKUTA SHONSE 
03-200925-062606_bem_798_elicit_10  KULI FIMO IFILEFWAIKWA TULEMBE PAKWAFWILISHA BA MU NKUTA SHESU ISHA CHRISTIAN BRETHREN PALWABO 
03-200925-062606_bem_798_elicit_11  KANSHI EMULANDU TWALUNDAMO AKAPEPELA AKA 
03-200925-062606_bem_798_elicit_12  ABANTU BONSE BALI ABANTUNGWA UKUBELENGA ICI CITABO MAKAMAKA ABALI MU NKUNTA ISHILESHIMPWA MULI INO MYAKA 
03-200925-062606_bem_798_elicit_13  PANTU BENA KUTI BASAMBILILA NO KUSOKWA PAMULANDU WA FINTU INKUTA SHASHIMPILWE AKALE SHAPITAMO PAMYAKA UMWANDA UMO NO KUCILA 
03-200925-062606_bem_798_elicit_14  NGA CAKUTI INTUNGULUSHI SHA INKUTA SHIMBI SHILEFWAYA UKULUNDAKO AMALEMBO NA YAMBI KULI CI CITABO ILINTU SHILECITUMA KU NKUTA SHABO 
03-200925-062606_bem_798_elicit_15  SHILINGILE SHIBALILAPO KWIPUSHA BAKALEMBA BA NATULEYA
03-200925-062606_bem_798_elicit_16  NI MULI CI CITABO TWAKULALONDOLOLA 
03-200925-062606_bem_798_elicit_17  PAMULANDU WA FINTU IFILECITIKA PAKATI KESU 
