03-200916-142856_bem_798_elicit_0  UMWANA WA MULANDA KUKAKATA
03-200916-142856_bem_798_elicit_1  UMWANA WA MUPETA FUAKU NSALA
03-200916-142856_bem_798_elicit_2  UMUSWEMA UKUKOSA IFUPA KULAMBA INSHILA
03-200916-142856_bem_798_elicit_3  UMULEMBWE WACIPUBA WAPWILILE MULI TUNFWE
03-200916-142856_bem_798_elicit_4  UMWENI WAKWA KOLWE ALYA EFYO KOLWE ALYAKO
03-200916-142856_bem_798_elicit_5  UMUCELE UFINA BOMFWA KU USENDELE
03-200916-142856_bem_798_elicit_6  UMUKULU EKELE ALAMONA UKUTALI UKUCILA UMULUMENDO EMAKENE
03-200916-142856_bem_798_elicit_7  UMUNWE UMO TAUSALA NDA
03-200916-142856_bem_798_elicit_8  UMWANA ASHUMFWA AMENENE UMWEFU KWIKOSHI
03-200916-142856_bem_798_elicit_9  UMWANA ASHIPUSHA ALILE UMUSUMBA WAKWA WISHI
03-200916-142856_bem_798_elicit_10  UMWANA KALOMBELO
03-200916-142856_bem_798_elicit_11  UMWANA KALEMA TA KALEKA
03-200916-142856_bem_798_elicit_12  UMWANA WAMUSHA AFUNDILWA APAFUNDILWA UMWANA WANFUMU
03-200916-142856_bem_798_elicit_13  UMWENI TALISHA MUNSOLI NGALISHA MUNSOLI NINSHI NINGOMBA
03-200916-142856_bem_798_elicit_14  UMWENI TAKOKOTA MAFUPANGA KOKOTA AMAFUPA NINSHIEKO AFUMA AMINA AYA TUNTULU
03-200916-142856_bem_798_elicit_15  UMUSHA AFWA NEFYEBO MUKANWA
03-200916-142856_bem_798_elicit_16  UMUTO WALUPWA TAWITIKA USHENDA MA FYE
03-200916-142856_bem_798_elicit_17  UWINGILA MUMUSHITU TOMFWA ISWA SWA
03-200916-142856_bem_798_elicit_18  UMUPINI UKULANGILE UMWANAKASHI KABWELELO
03-200916-142856_bem_798_elicit_19  UKUPOKA ICINSENDA KUNKOKO KUNA KILILA
03-200916-142856_bem_798_elicit_20  UMULANDU NGAWAPITILA PAMPUTI NAPA ULONDOLOLA UKUPITILA PAMPUTI
03-200916-142856_bem_798_elicit_21  USHITASHA MWANA WANDOSHI
03-200916-142856_bem_798_elicit_22  UWAKALEMA TAKALEKA
03-200916-142856_bem_798_elicit_23  UWAUPA NOKO NI WISO
03-200916-142856_bem_798_elicit_24  UWAMPEPO TABAMULANGA KUMULILO
03-200916-142856_bem_798_elicit_25  UWA KWENSHA BUSHIKU BAMUTASHA ELYO BWACHA
03-200916-142856_bem_798_elicit_26  UWAIKETE PABILI AFWILE KUMENSHI
03-200916-142856_bem_798_elicit_27  UWABINGWA UKOWATE MININA
03-200916-142856_bem_798_elicit_28  UWALYA IKANGA TABALALA
03-200916-142856_bem_798_elicit_29  UWENDA NA NGOSHE NO KUMUBEYA EUMUBEYA
