03-200916-015847_bem_798_elicit_0   WENU AFYALE WILOWA
03-200916-015847_bem_798_elicit_1  IFIKOLWE FYESU NAIFWE FWEBENE TWALISHIBA UKUTI UBULOSHI EKO BWABA TWALISHIBA NOKUTI AMANO YA NDOSHI KUTUMPA  
03-200916-015847_bem_798_elicit_2  ILINGI LINGI ILOWELA UMUFULO 
03-200916-015847_bem_798_elicit_3  TWIILABA NOBUFUBA NE CIPYU NANGU NO MUTIMA UBI NGATWAMONA UKO BULULU WESU AFYALA 
03-200916-015847_bem_798_elicit_4  PANTU UMWANA TE WA MUNTU UMO WABONSEFYE 
03-200916-015847_bem_798_elicit_5  NI BONSE BAMUTUMA AMENSHI NI BONSE BAMULOOMBA INCITO NI BONSE ABO ALINGILE UKUPEMPULA NO KWAFWA
03-200916-015847_bem_798_elicit_6  NGACILI IFYO TWALAANDA TACILINGILE UKULOWA UMWANA WENU AFYEELE
03-200916-015847_bem_798_elicit_7  NGACAKUTI BA KATUMBI NABA KATUMBA BALILOWEEKWE NABALUPWA LWABAFYASHI WABO 
03-200916-015847_bem_798_elicit_8  ILELO IMISHI YABO NE CALO CESU CA CONGO NGATABAFIBOMBEELE NGEFYO BALECITA PABUSHIKU BWELELO 
03-200916-015847_bem_798_elicit_9  KANSHI CAKUTOTELA KU NDOSHI SHONSE ISHABASHIILE ABOMI 
03-200916-015847_bem_798_elicit_10  NE NDOSHI NASHO KASHIPOSE UBULOSHI PANTU FI MANGA FYABO NE FISUPA FYABO TAFILETA UBUYANTANSHI 
03-200916-015847_bem_798_elicit_11  PALI IFI FYONSE TULEITA IPALO PA MPALUME SHESU 
03-200916-015847_bem_798_elicit_12  TUNASHEKO NO LWAMBO PALI BENA 
03-200916-015847_bem_798_elicit_13  LEELO TULEBAPALA PAFISUMA BALECITA NANGU TABATUPELE CILA UMO UMO ULUPIYA NANGU IFYO TULEFWAYA 
03-200916-015847_bem_798_elicit_14  CILA CINTU NE NSHITA YACIKO
03-200916-015847_bem_798_elicit_15  ICIPANDE CA BUBILI ICILA CA NSAKA UMO UCILETA
03-200916-015847_bem_798_elicit_16  NSAKA NI NCENDE UMO INDUPWA ISHINGI SHI KUMANINA MAKAMAKA ABAUME 
03-200916-015847_bem_798_elicit_17  MU NSAKA KULABA UKUTEYAMO ISUMBI UKWAMBAULAMO UKUNWAMO KABWALWA UKULILAMO NO BWALI 
03-200916-015847_bem_798_elicit_18  TE MUSHI ONSE UWISA MU NSAKA 
03-200916-015847_bem_798_elicit_19  NSAKA SHILABA ISHAFULA MU MUSHI 
03-200916-015847_bem_798_elicit_20  TABEKALA MU NSAKA INSHITA YONSE  ULUCELO KULABA UKUYA KU NCITO 
03-200916-015847_bem_798_elicit_21  ABANTU NGABABWELA ELO NSAKA IFUKILA 
03-200916-015847_bem_798_elicit_22  LEELO MU NSAKA KULABAFYE UMO UULETA ICILA UUKOSHE NSAKA UKUPITILA MUKWIPELA KWAKWE 
03-200916-015847_bem_798_elicit_23  EULENGA NOKUTI INSAKA YABO IBE IYALUMBUKWA
