03-200924-214522_bem_798_elicit_0  KUTI TWASHINSHIMUNA LESA PA LWESUFYE FWEKA
03-200924-214522_bem_798_elicit_1  KABILI KUTI TWAMWIMBILA UKUMUTOTELA NO KUPEPA KULI WENE MWISENGE NA BENA KRISTU BAMBI
03-200924-214522_bem_798_elicit_2  YESU ALAMONA MAKAMAKA BAMUNYINA ABALONGANA CAPAMO MWISHINA LYAKWE NO KUBALAYA UKUBA NABO MATEO EIGHTEEN VERSE TWENTYNANGU KUTI BABA BABILI BATATU ATEMWA TWO THOUSAND 
03-200924-214522_bem_798_elicit_3  KABILI LESA ALAMONA ISENGE LYA BANA BAKWE 
03-200924-214522_bem_798_elicit_4  ABO ABALETINA LESA BALELANDA KULI UMO NO MUBIYE NA LESA AKUTIKE NO KUMFWA
03-200924-214522_bem_798_elicit_5  NO MUFUNGILO WACIBUKISHO WALEMBLWE MU CINSO CAKWE KUBALETINA IMFUMU NO KUCINDIKA ISHINA LYAKWE
03-200924-214522_bem_798_elicit_6  UKUSANGALALA
03-200924-214522_bem_798_elicit_7  LESA ATUBUMBILE NGE FIBUMBWA FYA KUSANGALALA NE NKABILA YA KUIKULA MUKATI KUKUKWATA ISENGE NA BANTU BAMBI 
03-200924-214522_bem_798_elicit_8  KUTI TWAFIKILISHA ILI SUBILO UKUPITILA MUKUSUMBULA UKWAMPANA CAPAMO NA BENA KRISTU BAMBI 
03-200924-214522_bem_798_elicit_9  ISENGE LIFWILE LYABIKAKO UMUBO WAKUSANGALALA KU MYEO YESU NGA FINTU CALI KU BENA KRISTU BANTANSHI 
03-200924-214522_bem_798_elicit_10  CILA BUSHIKU BALETWALILA UKUKUMANA CAPAMO MU LUKUNGU LWE TEMPELE 
03-200924-214522_bem_798_elicit_11  BALEMOKAULA UMUKATE MU MA YANDA YABO NO KULILA CAPAMO NE MITIMA IYATAMBALALA
03-200924-214522_bem_798_elicit_12  ISENGE LYABENA KRISTU TEMPELA PALWAIKO
03-200924-214522_bem_798_elicit_13  TEKUTI WIKALEFYE INSA IMO MULUKUTA NO KUTILA NACIKWATA ISENGE LYA MULI UNO MULUNGU 
03-200924-214522_bem_798_elicit_14  NGAFINTU CINGABA KAPALA WAMBAO ABWELELA KU NG'ANDA UKUFUMA KUNCITO TETI ASOSE ATI NACITWA NE NONDO YANDI LELO 
03-200924-214522_bem_798_elicit_15  AWE KUTI ASOSA ATI NACIKUULA ICIBUMBA LELO
03-200924-214522_bem_798_elicit_16  NAISHIBA UKUTI IFIKATUMBUKAMO EFIKANKALA  TEFINTU FYALACITIKA 
03-200924-214522_bem_798_elicit_17  MUFWILE UKULASOSA NACISAMBILILA ISAMBILILO MU KUICEFYA LELO 
03-200924-214522_bem_798_elicit_18  NANGU NACILENGA HENRY UKUTI LELO AMWENTULE
03-200924-214522_bem_798_elicit_19  IFINTU FIFUMA MWISENGE EFYABA IFIKALAMBA
03-200924-214522_bem_798_elicit_20  KABILI EFINGALENGA UKUIKWATILA UKUSALA KWA MUNTU WINGALABA NAO MWISENGE
03-200924-214522_bem_798_elicit_21  KUTI CATWAFWA UKUPWISHA ICI CIPUTULWA NE CILANGILILO CA LUKUNI LWA MILIMO 
03-200924-214522_bem_798_elicit_22  INKUNI SHITWALILILA UKWAKA BWINO ILYO SHONSE SHILI PAMO 
03-200924-214522_bem_798_elicit_23  BWANGU BWANGUFYE NGA MWASHILEKANYA E MPELA YA LUBINGU LWA NKUNI 
03-200924-214522_bem_798_elicit_24  KUTI SHAPEELA ICUSHI PA KASHITA AKANONO ELYO SHASHIMA 
03-200924-214522_bem_798_elicit_25  ICI CIKOPE CISUMA CAFYO ISENGE LYABA KABILI CIKANKALA
03-200924-214522_bem_798_elicit_26  CILESONTELELA NGA CAKUTI TWA BA ABATALALA KU MUPASHI KABILI ABANAKA MULANDU WA KUTI ISENGE TALIFIKILEPO
03-200924-214522_bem_798_elicit_27  UFWILE UKUBA UWAIBUKILA NO BUCENJESHI BWA MULWANI WESU SATANA UKUTI ALEBALA AMULEKANYE NABENA KRISTU BANENU ELYO AMULOPOLE 
03-200924-214522_bem_798_elicit_28  EICO BENI MWIBUMBA LYA BATETEKELA NGA FINTU LESA ATUKONKOMESHA
03-200924-214522_bem_798_elicit_29  CINSHI CINGAMUCINCISHA UKUKWATA ISENGE
