01-201001-201528_bem_fb0_elicit_0  ICIPANDE CALENGA MUTANDA
01-201001-201528_bem_fb0_elicit_1  PA KUBWELELA KU MUFULIRA JONI NA CIKASHANA WAKWE NA CINKUPITI ONSE UWAISHILE KU BWINGA BAILE NA MOTOKA WAKWA DAKA
01-201001-201528_bem_fb0_elicit_2  JANET CAYAMUBIPILA SANA PA KUFUMA INCITE PA YADI PA MR THORNCROFT NO KUYAIKALA MU KOMPAUNDI KA MAINI 
01-201001-201528_bem_fb0_elicit_3  ELYO MU KOMPAUNDI AILESANGA IMILIMO YA MWANAKASHI UWAUPWA YALAMUTEEKA PA NGANDA KASUBA KONSE 
01-201001-201528_bem_fb0_elicit_4  TE PA KUISOSHA KULI JANET MU MUTIMA ALETI NO KUTI AWE MWANDI NAIL NGE CIPUBA BA KUSUMINO KUUPWA
01-201001-201528_bem_fb0_elicit_5  JONI CAMUPESHA AMANO PA KUMONA IFYO UMUKASHI WAKWE AYALUKA PA NSHITA IYACEPA FILYA 
01-201001-201528_bem_fb0_elicit_6  JANET UWALI NE NSEKO NGANSHI NO KUSANSAMUKA ILYO BALEENDA NANKWE MONSE TABALABOFYA NOMBA ABA UWAKUTUMANA NO KULANGA UBUKALI IMIKU NE MIKU
01-201001-201528_bem_fb0_elicit_7  KU CE SHAMO NACO KANSHI LILYA JANET BALI KU LUSAKA BALELOLELA UBWINGA JANET BALIKUMENE NA KAPENTA UO BALEYANGALA NANKWE KALE 
01-201001-201528_bem_fb0_elicit_8  AMUSHILA NA KEYALA KAKWE AKA KU MUSHI EKALA KU MUFULIRA 
01-201001-201528_bem_fb0_elicit_9  MUKWAI UYU KAPENTA WA MUPAMBA AMASANSO YONSE AYALEMONEKA MU NGANDA MWA JONI E WALELENGA KU MULANDU WA MAKALATA ALETUMINA JANET 
01-201001-201528_bem_fb0_elicit_10  ISHINA LYA UYU KAPENTA NI CLARA NKOSI
01-201001-201528_bem_fb0_elicit_11  KALATA WANTANSHI CLARA ALEMBELE ATILE
01-201001-201528_bem_fb0_elicit_12  MUNE NOMBA APO WAUPWA NAUSANGUKA UMUKALAMBA NSHILINGILE NA KUKWITA ISHINA LYOBE PANTU NOMBA NIWE MRS BOWA 
01-201001-201528_bem_fb0_elicit_13  INE NCILI NDEBOMBA NA NOMBALINE MU CLINIC MULYA MWINE WANSHILE 
01-201001-201528_bem_fb0_elicit_14  ALA LAIFI MUNO LUSAKA NOMBA ELYO ACILILE UKUNUNKILA 
01-201001-201528_bem_fb0_elicit_15  E MUKUTI PA KUYA KU BIOSCOPE NOMBA NALILEKA UKULIPILA 
01-201001-201528_bem_fb0_elicit_16  LYONSE ABALUMBENDO BALANSENDA MULI TAXI NO KUYA MU KUNDIPILILA 
01-201001-201528_bem_fb0_elicit_17  KABILI CILA CIBELUSHI TULAYA KU KUNWA NO KWANGALA KU BWACHA HOTEL NAKO KWINE NSHILIPILA NELYO KAMO 
01-201001-201528_bem_fb0_elicit_18  ALA NDEKUFULUKA SANA MUNE MRS BOWA
01-201001-201528_bem_fb0_elicit_19  ILYO JANET APWILE UKUSOMA UYU KALATA NI CIKANGA UMUTIMA ULEPUKE KU BUKALI 
01-201001-201528_bem_fb0_elicit_20  NECO E NSHITA JONI AMUSHILILE AMALAYA YA KUCAPA 
01-201001-201528_bem_fb0_elicit_21  UKUCAPA KWINE AILECITA FYE CIPYUCIPYU IFYAKUFWALA TETI FIBUTE NA BWINOBWINO IYOO
01-201001-201528_bem_fb0_elicit_22  BUSHIKU BUMO KU WELUFEYA KWALI UKUCIMFYANYA KWA BAKASHANA UKUTI BASALE UMUSUMA UKUCILA BONSE 
01-201001-201528_bem_fb0_elicit_23  JANET ALOMBA ULUSA LWA KUTI AYEMONAKO JONI AIBUKISHA IFYO BAMUKONKOMESHE KULI BASHIFYALA UKUTALUSHA JANET KULI BAKAPENTA 
01-201001-201528_bem_fb0_elicit_24  AKANA ATI IYOO INE TETI NKULEKE UKUYA KU CILONGANINO CA MUSANGO UYU 
01-201001-201528_bem_fb0_elicit_25  PANTU NALISHIBA ABAKASHANA BALONGANA KU FYANGALO FYA MUSONGO UYU IFYO BABA TABABA NA MISANGO INEINE
01-201001-201528_bem_fb0_elicit_26  JANET AYASUKA BUKALIBUKALI ATI NGA BABA SHANI 
01-201001-201528_bem_fb0_elicit_27  BUSHE BENDA UBWAMBA PA BANTU PAKUTI UTILE TABABA NA MISANGO INEINE
01-201001-201528_bem_fb0_elicit_28  JONI NSHILETI BENDA UBWAMBA IMILANDILE YABO NE MIFWALILE YABO TAFYAWAMA 
01-201001-201528_bem_fb0_elicit_29  KANSHI UMWANAKASHI UWAUPWA KABILI UWACINDAMA TAFWILE KUSANGWA KU KUCIMFYANYA KWA MUSANGO UYU IYOO
01-201001-201528_bem_fb0_elicit_30  JANET KANSHI WALOSHA MUKUTI INE NSHACINDAMA ICI NDEFWAYA UKUYAKO
01-201001-201528_bem_fb0_elicit_31  JONI UMFWA JANET INE UMWEO WANDI TAWANDOSHA KU KUFWAYA UKUUMA ABANAKASHI 
01-201001-201528_bem_fb0_elicit_32  NOMBA NGA WAKONKANYAPO UKUNJASUKA BUTUMPEBUTUMPE NALAKUMA NOMBALINE
01-201001-201528_bem_fb0_elicit_33  AWE JANET AIBUKISHA UBULAMBA BWAKWA JONI ABWELA ATALALA 
01-201001-201528_bem_fb0_elicit_34  LELO NANGU ATALELE IFI UMUTIMA WAISWILE INSELE SHA KUTUKA JONI 
01-201001-201528_bem_fb0_elicit_35  JONI ESHIBA IFYALETONTONKANYA JANET NGA KUTI BALEKANA APO PENE
01-201001-201528_bem_fb0_elicit_36  JANET ASANSAMWIKE FYE UBUSHIKU BUMO ILYO JONI AMUSENDELE KU BIAOLO PA CITUKUTUKU 
