01-201012-183344_bem_fb0_elicit_0  APO NINSHI BAICUSHA FYE NO KULYA NINSHI TABALILE KAPALA ASHALA FYE NA MAKA YAKWE YONSE 
01-201012-183344_bem_fb0_elicit_1  PA KULYA KAPALA KANO BONSE ABA KU CIPANI CA BASHA NABAFULWA SANA CILYA CINE UMUFWI WAKONTAMO 
01-201012-183344_bem_fb0_elicit_2  BONSE BATOTA ATEMWA BAKUNKUNSHA PANSHI PEYESHA UMO UKUSOSA ATI NAMUCITA AKANTU
01-201012-183344_bem_fb0_elicit_3  AWE NINSHI CAPWA FYE 
01-201012-183344_bem_fb0_elicit_4  NI MFUMU IFWA UKWATALALA ICONGO CAISAPANGWA PANUMA
01-201012-183344_bem_fb0_elicit_5  NGA CAKUTI ABACICIMFYA PAKUBALA BAKONKANYAPO UKUKUFYA ABANABO NAKABILI PA MUKU WA CIBILI UWA CITATU NO WA CINE 
01-201012-183344_bem_fb0_elicit_6  UKUYA NA KUNTANSHI AWE NINSHI BAIKATILE ICIINGA UKWAKABA 
01-201012-183344_bem_fb0_elicit_7  BAKAPALA BONSE ABAKOKWESHA PA NSHITA YONSE II BALI NO KUSHIKWA MU MUSENSENGA
01-201012-183344_bem_fb0_elicit_9  PANTU UMUFWI NELYO WAYAUMA KU CIBUMBILI CA MUSENSENGA 
01-201012-183344_bem_fb0_elicit_10  KUTI BAFUMYAKO FYE IMICANGA PANONO 
01-201012-183344_bem_fb0_elicit_11  MPAKA BALASEKO NELYO IMIKU INE ATEMWA ISANO E PA KUSHULA KAPALA ONSE ASHALA PAMBILIBILI
01-201012-183344_bem_fb0_elicit_12  NOMBA PA KUMULYA ICINECINE KANO KAPALA ATENUKA MU CILINDI APO NINSHI ABA KU CIPANI CA BUSHA PEBA NELYO UMO UWA KUCENSA 
01-201012-183344_bem_fb0_elicit_13  NANGU UO AMENO YASANSABALA UKUCILA IMILOMO AFWILE UKUTINTILA IMILOMO PA MENO MPAKA BALUBUKE
01-201012-183344_bem_fb0_elicit_14  KABILI TAPALI NELYO UMO UKWIKALA UBWAMBA NELYO UKUSHA IMPENGE BONSE BALI NO KUFYATILA BWINOBWINO 
01-201012-183344_bem_fb0_elicit_15  TAPALI NO WALISHA ULUSHOSHO KANO FYE UKWIKALA KUTA
01-201012-183344_bem_fb0_elicit_16  ELYO NGA PAPITA AKASHITA BALI NO KWAULA NO KUSEKELA NGANSHI PANTU ICACIBATEKA KU MUNGA WE FWAFWA CAFWA
01-201012-183344_bem_fb0_elicit_17  MUPINI MUNGALU ALUKA TUMONE 
01-201012-183344_bem_fb0_elicit_18  NOMBA TATA NGA CAYALUKA BALYA BACILAKUFYA NABO NOMBA E BALAKUFYA ABANABO ALA KUTI WASUMA UMUNWE
01-201012-183344_bem_fb0_elicit_19  KUTI NGA BAIBUSHA IFYACILABACUSHA ABANABO BASOSA NO KUSOSA ABATI AKATANSHI TAKALISHA AKALEKELESHA KALALISHA 
01-201012-183344_bem_fb0_elicit_20  NINSHI APO ABANABO NABO BABA KU KALILI IFIPOOPE FYONSE ABANABO BACILABACUSHISHAMO NABO NOMBA FYABA APO BALI
01-201012-183344_bem_fb0_elicit_21  BENA NGA BATEMWA KUTI BALUNDAPO NO KUBALESHA UKUNUNANUNA
01-201012-183344_bem_fb0_elicit_22  TAKULI NELYO UMO UWAKULYA KAPALA NELYO ICISOMBWA NGA EKELE PA CIBOLYA 
01-201012-183344_bem_fb0_elicit_23  PA CIBOLYA E PALYA APASHILI LUPETA IWALIMBWA MU CENI CA MUNTU
01-201012-183344_bem_fb0_elicit_24  NGA CAKUTI BALYA ULUPETA LULI MU CENI ALI NO KUSELELA PALI LUMBI NELYO UKUYASUNSUMANA PA MUNANKWE UUKWETE ULUPETA MU CENI
01-201012-183344_bem_fb0_elicit_25  NELYO BABE BATATU TE MULANDU LELO CALESHIWA FYE UKUPOSELA UMUFWI PA CIBOLYA 
01-201012-183344_bem_fb0_elicit_26  UWAPOSELA PA CIBOLYA UMUFWI WAKWE NELYO WINGATI WAYALYA KUBILIKUBILI NINSHI AICUSHA FYE BALI NO KULIMBA NAKABILI
01-201012-183344_bem_fb0_elicit_27  MULAMBILWA ALAFUKILA SANA KUTI ABACITENDEKA NGA BACIBA BANONO KUTI BALUBA UKO IFITA FIMBI FYAFUMA BAFULA NGANSHI 
01-201012-183344_bem_fb0_elicit_28  PANTU ONSE ULEFWAYA KUTI ATAKO KULILA PA KWINGILA BALEINGILA BABILI BABILI UMO AYA KU IBUMBA LIMO UMUBIYE NAO KU IBUMBA LIMBI 
01-201012-183344_bem_fb0_elicit_29  NOMBA NGA BAYANGALA CAFUULA KULEKA BATOOLA IMPETA BAPENDA BAISHIBA UKUTI SHONSE SHAKUMANINA BAPELA CIBINDA AYABIKA 
01-201012-183344_bem_fb0_elicit_30  NGA CAKUTI PALUBA LUMO BAFWILE UKUFWAISHA MPAKA BALUMONE PAKUTI UMWINE TELE NA CIKONKO 
01-201012-183344_bem_fb0_elicit_31  NA BAKALAMBA BENE NGA BALEFWAYA KUTI BATAKO MULAMBILWA
