03-200921-154823_bem_798_elicit_0  UMUTITIKISHA WA MPANGO
03-200921-154823_bem_798_elicit_1  UMUTITIKISHA WA MPANGO MUSANGO NAUMBI UWA MUTITIKISHA NANGU UMUCUSHISHA UUSANGWA MU MAYANDA
03-200921-154823_bem_798_elicit_2  INTAMBI SHA PA MULANDU WA MPANGO KUTI SHAPUSANA MU FYALO IFYAPUSANA NE FISHILANO IFYAPUSANA
03-200921-154823_bem_798_elicit_3  'IMPANGO' LUTAMBI LUMO ULWA PAMULANDU WA NDALAMA 
03-200921-154823_bem_798_elicit_4  IFIPE NANGU IFYABUPE IFINGAPELWA UKUFUMA KU LUPWA LWA MWANAKASHI NO KUYA KU LUPWA LWA MWAUME ILYO BALEUPANA 
03-200921-154823_bem_798_elicit_5  UKUBOMFYA KWA MPANGO UKWINE FYE TEMUTITIKISHA IYO
03-200921-154823_bem_798_elicit_6  LELO UKUPATIKISHA UBUNKALWE NANGU UMUCUSHISHA UWINGAMPANA NOKULIPILA NANGU UKUPOKELELA KWA MPANGO PANSHITA IILI YONSE ILYO TABALAUPANA 
03-200921-154823_bem_798_elicit_7  MUKATI KA CUPO NANGULA PANUMA YA ICI CUPO FYONSE KUTI FYABA MUTITIKISHA 
03-200921-154823_bem_798_elicit_8  UMUTITIKISHA WA MPANGO ILINGI LINE MUSANGWA ILYASHI LYAKUTI IMPANGO TASHALIPILWE NANGU UKUPATIKISHA BALUPWA BA MWANAKASHI UKUTI INDALAMA NANGU IFYABUPE NAFIMBI
03-200921-154823_bem_798_elicit_9  UMUTITIKISHA NO BUNKALWE BWAMU MAYANDA MILANDU IYAPINKANA NA MAFUNDE YA CALO CA AUSTRALIA 
03-200921-154823_bem_798_elicit_10  UMUNTU UWASANGWA NEYI MILANDU KUTI AKAKWA ABE MWANAKASHI NANGU UMWAUME
03-200921-154823_bem_798_elicit_11  NGACAKUTI IMWE NANGU UMUNTU UMBI UNTU MWAISHIBA ALI MU BUSANSO TUMINENI BA KAPOKOLA PALI ZERO ZERO ZERO
03-200921-154823_bem_798_elicit_12  BA KAPOKOLA MU CALO CA AUSTRALIA BANTU ABASUMA KABILI ABACETEKELWA
03-200921-154823_bem_798_elicit_13  NGAMULEFWAYA BU MPANDA MANO UBWA LUTU KABILI UBWA NKAMA TUMMINENI BA ONE EIGHT ZERO ZERO RESPECT PA ONE EIGHT ZERO ZERO SEVEN THREE SEVEN SEVEN THREE TWO
03-200921-154823_bem_798_elicit_14  NGACAKUTI MULEFWAYA UWAKUMIPILIBWILAKO ICITUNDU TUMENI PA ONE THREE ONE FOUR FIVE ZERO
03-200921-154823_bem_798_elicit_15  UBUTEKO BWA CALO CA AUSTRALIA TABUSUMINISHA UMUTITIKISHA NANGU UBUNKALWE BWA MPANGO MUMUSANGO UULI ONSE
03-200921-154823_bem_798_elicit_16  UBUTEKO BWA CALO CA AUSTRALIA BWALIPOSAKO AMANO SANA KULI ILI LYASHI LYA MUTITIKISHA WAMU MAYANDA PAMOFYE NO MUTITIKISHA WA MPANGO 
03-200921-154823_bem_798_elicit_17  ABENA AUSTRALIA BONSE BALIKWATA INSAMBU ISHAKWIKALA UKWABULA UKUTITIKISHIWA 
03-200921-154823_bem_798_elicit_18  UKUTINISHIWA NANGU UKUPATIKISHIWA 
03-200921-154823_bem_798_elicit_19  UKWABULA UKULOLESHA PA MIPEPELE YAKWE 
03-200921-154823_bem_798_elicit_20  INTAMBI SHAKWE PAMO NEFYO ASUMINAMO
03-200921-154823_bem_798_elicit_21  UMUTITIKISHA NO BUNKALWE BWA MPANGO MULASANGWA IMIBELE YA CINTINYA IIMININA PAKUPINDULULA UMUNTU NANGU BALUPWA BAKWE
03-200921-154823_bem_798_elicit_22  UKUPITILA MU KUBATINYA NANGU UKUTINYA UMUTENDE WABO
03-200921-154823_bem_798_elicit_23  NGACAKUTI MWALIKWATA ICITUPA CA BWIKASHI KUTI MWAPOKELELA UBWAFWILISHO
03-200921-154823_bem_798_elicit_24  UMUNTU BALUPWA NANGU ABEKALA CALO BAMBI ABA MUNCENDE IMO TEKUTI BAKUTINYE NGACAKUTI ULI NE CITUPA CA BWIKALO
03-200921-154823_bem_798_elicit_25  NGACAKUTI MWALIKWATA ICITUPA CA BWIKALO ICAPA NSHITA IINONO
03-200921-154823_bem_798_elicit_26  NANGULA ICITUPA CIMBI ICAKWENEKELA ICUPO ELYO MWASANGWA MU LYASHI LYA MUTITIKISHA WA MPANGO
03-200921-154823_bem_798_elicit_27  MWALIBAKO AMAFUNDE AYALOLESHA PA MUTITIKISHA WA NDUPWA MU MAFUNDE YAMINGILILE MU CALO CA AUSTRALIA AYENGAMISUMINISHA UKWIKALA NE CITUPA CA BWIKALO ICAKWIKALILILA
03-200921-154823_bem_798_elicit_28  IMPANGO TEKUTI SHIBOMFIWE MUKUPATIKISHA UMUNTU UKWINGILA MUCUPO
03-200921-154823_bem_798_elicit_29  NGACAKUTI IMPANGO SHALIBOMFIWE MUKUPATIKISHA UMUNTU UKWINGILA MUCUPO UKWABULA UKUTI ASUMINE ICI KUTI CABA CUPO CAKUPATISHIWA
