01-201001-223110_bem_fb0_elicit_0  JANET MWE BANTU NGA FIBI NSHI FINGABAPO KABILI NGA NAMUPA AMUSOMAPO NICO ILEMBELWE MU CINDEBELE
01-201001-223110_bem_fb0_elicit_1  JONI ATI LETA KANSHI MONE IFILEMBA BAMAYO NA INE NJISHIBE UKUBOKO KWABO
01-201001-223110_bem_fb0_elicit_2  JANET ALAWAYAWAYA JONI ASEMPOLA NA KALATA AFUNGULULA 
01-201001-223110_bem_fb0_elicit_3  ICO JONI ALETUNGANYA UKUTI JANET ALEFISAPO FIMO APITILILA FYE KU KUMONA ISHINA LYA ULEMBELE 
01-201001-223110_bem_fb0_elicit_4  AMONA ISHINA LYA CLARA NKOSI 
01-201001-223110_bem_fb0_elicit_5  LYENA ASHININKISHA NO KUSHININKISHA UKUTI CINECINE MULI IFIBIPILE MULI KALATA 
01-201001-223110_bem_fb0_elicit_6  ELYO AIPUSHA ATI IWE BUSHE BANOKO ISHINA LYABO NIB A CLARA NKOSI
01-201001-223110_bem_fb0_elicit_7  JANET NAMWISHIBA NI TAUNI KELO AYASUKA ATI ALA MWE BANTU ABO NI BAMAYO MWAICE
01-201001-223110_bem_fb0_elicit_8  JONI NGA BALEMBELE NSHI KALATA MU CINDEBELE
01-201001-223110_bem_fb0_elicit_9  JANET ABO BAMAYO BAKULILA KU BULAWAYO NO KUSAMBILILA KWINE EKO BASAMBILILE ISUKULU 
01-201001-223110_bem_fb0_elicit_10  NELYO KWENA ABENE BASEZURU TETI BACILEMBE BWINO
01-201001-223110_bem_fb0_elicit_11  KWENA JONI NELYO AMONEKE NGO WASULA PA NSHITA ILYA UKUTUNGANYA KWAKWE CACILILAKO APANGA NO KUPANGA UKUTI NELYO CIBE SHANI MFWILE UKWISHIBA IFILEMBELWE MULI UYU KALATA
01-201001-223110_bem_fb0_elicit_12  JANET PA KUNAYA UBWALI ALI FYE BULANDABULANDA ALEIMBA NA KALWIMBO BALEIMBA NA BAKAPENTA BABIYE MU LUSAKA 
01-201001-223110_bem_fb0_elicit_13  UKUTONTONKANYA KWAISA MU MUTIMA UKWA KUKWATA ABANA UKUKANAYA KU BIAOLO APO ALEFWAILA UKWIKALA PA NGANDA PEN GO MUSHA UKUCAPA NO KUCISA IFYAKUFWALA FYA MULUME
01-201001-223110_bem_fb0_elicit_14  UKUKANALANDA NO MWAUME UMWINE ATEMENWE FYONSE IFI FYAMUFINYA UMUTIMA ALAFWAYA UKULEPUKA 
01-201001-223110_bem_fb0_elicit_15  ATALA AIMA NAKO APIMPULA INDELESHI AILOLESHA BAKAPAFU IFYO BABUTA AIBUKISHA NEFYO ABALUMANDO BALEMUTASHA KU BUSUMA BWAKWE AWE MUKWAI AKAMPA NA MU LUPI
01-201001-223110_bem_fb0_elicit_16  BULECA FYE ULUCELO CILYA JONI AYA KU NCITO JANET ABULA NA PENSULO UKWASUKA KALATA WA MUBIYE UWAFUMINE KU LUSAKA ALEMBA NAO ATI
01-201001-223110_bem_fb0_elicit_17  MUNE NASANTIKA SANA PALI KALATA OBE UYU AISHILEMFUNDAKO UTUNTU UTWINGI 
01-201001-223110_bem_fb0_elicit_18  IYE MAYO IFYO UBULANDA BUNJISHILE PA KUMFWA IFIBIPILE ELIZABETH ZULU PA MULANDU WA KUFYALA UMWANA 
01-201001-223110_bem_fb0_elicit_19  ALA NA INE NDETINA SANA MWANDI E PALI INE NGA NABA NO MWANA NKASANGUKE UMUKOTE
01-201001-223110_bem_fb0_elicit_20  AWE MWANDI AMANO NAYAPELA NSHISHIBE NA FYAKUCITA 
01-201001-223110_bem_fb0_elicit_21  INE NINE NKALEENDA NA MATEBELA YA MWANA WASANGA IMISU MU NUMA NGA MUMUPAAPA 
01-201001-223110_bem_fb0_elicit_22  AWE MWANDI CLARA WESU IWE ULI MUKALAMBA WINGAMFUNDAKO IFYAKUCITA PAKUTI AMASAKAMIKO YANCEPELEKO 
01-201001-223110_bem_fb0_elicit_23  IWE WALISHIBA UTWINGI 
01-201001-223110_bem_fb0_elicit_24  KUTI WANJEBAKO NELYO FYE UTWAKUIPUSUSHA KU CINKUULA ICI NAUPWAKO
01-201001-223110_bem_fb0_elicit_25  APOPENE ABALA ASHA NO KWIPIKA AYA KU KUPOSTA KALATA
01-201001-223110_bem_fb0_elicit_26  KUTI CILYA ALEPOSHITA KALATA PA POST OFFICE BAKUMANA NA ULYA CILUMENDO BAUMINE KULI JONI KU BIAOLO PA MULANDU WA KULANDA IFYA BUTUMPE NA JANET
01-201001-223110_bem_fb0_elicit_27  ULYA CILUMENDO ICO ALETIINA JONI ABALILE ACITA KWATI TAISHIBANA NA JANET JANET ENA KALEKALE AMWIBUKISHA E WATAMPA NO KUMUPOSHA 
01-201001-223110_bem_fb0_elicit_28  CILUMENDO ATI AMONE UKUPAMA KWAKWA JANET ASHININKISHA NO KUTI ALI EKA AWE APALAMA BATAMPA NO KUPUME LYASHI
01-201001-223110_bem_fb0_elicit_29  CILUMENDO AIPUSHA JANET ATI YANGU BA SISITA NOMBA MWALILEKA NO KWISA KU BIAOLO
01-201001-223110_bem_fb0_elicit_30  JANET ATI EE BATINI BABULASA 
01-201001-223110_bem_fb0_elicit_31  ALA CINECINE UKUUPWA TAKWAWAMA BATINI ABALUME UBUFUBA E BANDESHA
01-201001-223110_bem_fb0_elicit_32  CILUMENDO MULANDU NSHI AKWATILA UBUFUBA BUSHE EO BAPUTWILILEPO UMUTOTO WENU
01-201001-223110_bem_fb0_elicit_33  JANET KWENA UKUCILABULYA BWINE BUSHIKU MWACITILE NABO IFYONGO KU BIAOLO NALUBA NE NSHILA YALUNGAMAKO
01-201001-223110_bem_fb0_elicit_34  CILUMENDO KANSHI SISITA ULECULA SANA PANTU NINJISHIBA ULI MWINA TAUNI WALITEMWA UKUTANDALA NO KWANGALA UMO ULEFWAILA 
01-201001-223110_bem_fb0_elicit_35  ELYO ULYA KAMISHI ESE AKUTEEKE KU MUNGA WE FWAFWA 
01-201001-223110_bem_fb0_elicit_36  AWE ICO CENA TE CISUMA KWENA INE LELOLINE ICUNGULO EKO NDEYA KU BIAOLO
01-201001-223110_bem_fb0_elicit_37  NOMBA ICO JANET ALETIINA UKUTI NALIMO LIMBI JONI KUTI ABWELA KU NCITO ASANGA NSHILI PA NGANDA 
01-201001-223110_bem_fb0_elicit_38  AEBA CILUMENDO ATI CISUMA NABALA NAPITA TUKAMONANA NA LIMBI ABUULA INCINGA ABWELELA KU NGANDA
01-201001-223110_bem_fb0_elicit_39  ILYO JONI ABWELELE KU NCITO AFWAISHA UKWISHIBA AMASHIWI YALI MULI KALATA JANET APOKELE KULI CLARA NKOSI 
01-201001-223110_bem_fb0_elicit_40  ATUMA JANET KU KUSHITA UTUNTU KU BEKA PAKUTI ASHALEMO EKA 
01-201001-223110_bem_fb0_elicit_41  CILYA JANET AFUMAPO APO PENE ATENDEKA NO KUFWAYA KALATA 
01-201001-223110_bem_fb0_elicit_42  KUTI NGEFI AIMONA PANSHI YA SUTIKESHI WAKWA JANET 
01-201001-223110_bem_fb0_elicit_43  ICO ASHAISHIBE CINDEBELE ABUULA IPEPALA LIMBI EPO AKOPOLWELA AMASHIWI YONSE PAKUTI ATWALE KU BAISHIBA ICIBENDEBELE BAMWALWILEKO MU CIBEMBA 
01-201001-223110_bem_fb0_elicit_44  CILYA APWA APETA KALATA BWINOBWINO ABWESESHA NAPO AFUMINISHE ELYO ATAMPA UKULYA UBWALI
01-201001-223110_bem_fb0_elicit_45  ILYO JANET ABWELA ASUNGUKA PA KUMONA JONI ACILI ALELYA UBWALI PANTU INSHITA ITALI YAPITAPO APO ALI ELILE 
01-201001-223110_bem_fb0_elicit_46  CILYA ABIKA UTUPE AIPUSHA JONI ATI YABA NA NOMBA UCILI ULELYA UBWALI SHI KATWISHI UKO WALI WATALA WAYA
01-201001-223110_bem_fb0_elicit_47  JONI ATI BUSHE TETI NTUSHE PAKUBALA KUTI NALALYA NGA NEO BALETAMFYA NGO LENJIPUSHISHA NSHI
01-201001-223110_bem_fb0_elicit_48  JANET IYOO MWE BANTU NDEIPUSHA FYE
