01-201011-225826_bem_fb0_elicit_0  BANE NATULECITA AKAMBE
01-201011-225826_bem_fb0_elicit_2  AKAMBE NAKO KABWANGALO AKO ABAICE BACITA MU NSHITA YA CUNGULO UMWESHI NGA NAUBALIKA MU NSHITA BALETUUSHA KU MILIMO YA KASUBA
01-201011-225826_bem_fb0_elicit_3  UTWAMBE TWABA IMISANGO IINGI LELO NALAESHA UKULONDOLOLA KAMO AKACITIKA LIBILILIBILI 
01-201011-225826_bem_fb0_elicit_4  MULI AKA KAMBE ABALEYANGALA KUTI BASHINGULUKA MU MULONGO BALEPAPIKANA BABILIBABILI UMO KUNTANSHI UMBI KUNUMA PA NCENDE IMO EPO BABIKA BATATU 
01-201011-225826_bem_fb0_elicit_5  PALI ABO BATATU EPO AKAMBE KALI NO KUTENDEKELA 
01-201011-225826_bem_fb0_elicit_6  EPALI ULYA AKALUMBWILE
01-201011-225826_bem_fb0_elicit_7  EULI NO KUSHINGWILA UMUBIYE BAKONKENE NANKWE AFULUMUKA NO LUBILO 
01-201011-225826_bem_fb0_elicit_8  UYO MUNANKWE ASHINGWILA AMUKONKA PAKUTI AMUSHINGWILA NAO 
01-201011-225826_bem_fb0_elicit_9  LELO NAO AYAIKALA MUKATI KA BAMBI BABILI ELYO UYO ALI PANUMA NAO ABUTUKA 
01-201011-225826_bem_fb0_elicit_10  NGA ATUBATUBA KUTI BAMUSHILA KULI ULYA WINE ACILATAMFYA UWANTANSHI NAO NOMBA E WALABUTUKA NO KUYAIKALA PA NTANSHI YA BAMBI BABILI 
01-201011-225826_bem_fb0_elicit_11  E IFYO FINE NAFITWALINKANA KWALIBA BAMO ABACITA NE MINGALATO ICAKUTI BAMUFILWA FYE UKUMUSHINGWILA 
01-201011-225826_bem_fb0_elicit_12  FIMBI NAFYO IFIPAMFU KUTI CAIKATA FYE AKABIYE NGA AKAMUKOOKA 
01-201011-225826_bem_fb0_elicit_13  CAKAPINGA NA PA KUBEYA 
01-201011-225826_bem_fb0_elicit_14  CAYAIKALA NA MU CENI CABANABO 
01-201011-225826_bem_fb0_elicit_15  ELYO CAKASHINGWILA CAKALEKAKO KAYA KALAWISHIKANA MU KUTAMFYA BAMBI
01-201011-225826_bem_fb0_elicit_16  KWENA PAKUBALA ULYA ACILUMBULA AKAMBE KUTI E WATENDEKA NA KALWIMBO ATI
01-201011-225826_bem_fb0_elicit_17  UBWAMBE UBWAMBE
01-201011-225826_bem_fb0_elicit_18  BWAMWIKALAIKALA BWAMUBEYE KOSHI
01-201011-225826_bem_fb0_elicit_19  CISONGO
01-201011-225826_bem_fb0_elicit_20  BWAMWIKALAIKALA BWAMUBEYE KOSHI
01-201011-225826_bem_fb0_elicit_21  NDIKISONI
01-201011-225826_bem_fb0_elicit_22  KALALIKI 
01-201011-225826_bem_fb0_elicit_23  KUMFWA NGA AFIKA PALI NDIKISONI KALALIKI ALI NO KUBUTUKA NO KUYASHILA UMUBIYE ELYO BALATAMFYANYA NGA FILYA FINE NSOSELE PAMULU
01-201011-225826_bem_fb0_elicit_24  NOMBA NGA CAFUULA BALI NO KULEKANA BONSE UMOUMO BASENDAMA
01-201011-225826_bem_fb0_elicit_25  LELO UYO ASHALIKISHA NA KAMBE KUTI BALEMUSEKULUKA ABABIYE ABATI ULEYAPILWA AMASHISA 
01-201011-225826_bem_fb0_elicit_26  NO KUMUWELA BALEMUWELA 
01-201011-225826_bem_fb0_elicit_27  LELO NELYO CIBE IFYO NAO TETI AFULWE IYO BALISHIBA UKUTI KWANGALA FYE 
01-201011-225826_bem_fb0_elicit_28  LIMBI TETI WISHIBE NO USHELE NA KAMBE WINE PANTU NGA NI NKAMPU KUTI NAO E UCILILE NA MUKUWELA 
01-201011-225826_bem_fb0_elicit_29  AKAMBE NAKO KENE BALANGALA CINTOBENTOBE NA BANAKASHI NA BALUMENDO LELO LIMOLIMO KUTI ABAKASHANA BEKA NA BALUMENDO NABO BEKA
