07-200916-171635_bem_c20_elicit_0  MU NANDA MWABUTAFYE TUUTU
07-200916-171635_bem_c20_elicit_1  AWE IMFUMU YAKAKA YAPEELA NA UMULUMENDO AITI EFYO UKAYA MUKUKANGASHA
07-200916-171635_bem_c20_elicit_2  UMULUMENDO ABWELELA NA PACALO AYA NA KUMUSHI KWA BASHIFYALA
07-200916-171635_bem_c20_elicit_3  UMUKASHI ALAMUPOSHA
07-200916-171635_bem_c20_elicit_4  UMULUME NAO AMUPEELA NA IFUMO ATI TWALILA BATATA IFUMO LYABO ILI
07-200916-171635_bem_c20_elicit_5  IMFUMU YAYATIFYE EE NOMBA ABILAPO
07-200916-171635_bem_c20_elicit_6  CILYA BWAILA UMULUMENDO AEBA NA UMUKASHI ATI SHIMYA UMULILO
07-200916-171635_bem_c20_elicit_7  UMUKASHI ASHIMYA NA UMULILO
07-200916-171635_bem_c20_elicit_8  UMULUMENDO ALASA NA UBULANDA PANSHI
07-200916-171635_bem_c20_elicit_9  MUKWAI MU NANDA MWABUTAFYE TUUTU
07-200916-171635_bem_c20_elicit_10  KALATI KABILIBITA KABILIBITA MUMUTENGE AKATI UBULANDA UBULANDA UBULANDA
07-200916-171635_bem_c20_elicit_11  IMFUMU ILEUMFWAFYE UKO ABANTU BALECITA ICONGO
07-200916-171635_bem_c20_elicit_12  UMULUMENDO ULUCEELO ATI NDEYA KUMWESU LELO
07-200916-171635_bem_c20_elicit_13  ASHILA NA UMUKASHI UBULANDA
07-200916-171635_bem_c20_elicit_14  CILYA BWAILA IMFUMU YAEBA MWANE AITI MAAYO KALETENI UBULANDA BWA BATATA TEISETWANGASHEPO
07-200916-171635_bem_c20_elicit_15  AWE MWANE AYABUULA NA UBULANDA BWAMWINAMWAKWE
07-200916-171635_bem_c20_elicit_16  IMFUMU YAEBA AITI SHIMYENI UMULILO
07-200916-171635_bem_c20_elicit_17  AWE BASHIMYA
07-200916-171635_bem_c20_elicit_18  YAKATOBA NA PANSHI KAISAIMINA NA MUMUTENGE KATI NA UKUTI UBULANDA UHULANDA 
07-200916-171635_bem_c20_elicit_19  MU NG'ANDA MWABUUTAFYE TUUTU 
07-200916-171635_bem_c20_elicit_20  NOMBA IMFUMU PAKULOLESHA YAPUNAMINA MU MUULU YAYASAMUNA NAKANWA ILETI HA HA HA AKA KANTU CIINE
07-200916-171635_bem_c20_elicit_22  MU NANDA MWAFITA NA FITITI
07-200916-171635_bem_c20_elicit_23  MUKWAI IMFUMU NA MAANO YAPELA YAIBUKISHA NA IFYO YACITILE LUMBWE
07-200916-171635_bem_c20_elicit_24  ULUCEELO UMULUMENDO AFIKA KUTI EPUSHE UMUKASHI UBULANDA BULI KWI 
07-200916-171635_bem_c20_elicit_25  CILYA UMUKASHI AMWEBAFYE AIMA ALUNGAMA NA KWISANO AYAEBA NA IMFUMU ATI 
07-200916-171635_bem_c20_elicit_26  KANOFYE UBULANDA BWANDI BUMONEKE LINO LINE NGA TABWAMONEKE NDEKUTUMBULA MBULEMO UBULANDA BWANDI
07-200916-171635_bem_c20_elicit_27  MUKWAI MFUMU YALAPISHA NA UMUNWE KU MUKOSHI YALUKA YALUKA NA UKUTI ILUKE UBULANDA NAKALYA 
07-200916-171635_bem_c20_elicit_28  AWE ULUMENDO UYU AIPAYA NA IMFUMU
07-200916-171635_bem_c20_elicit_29  AITUMBULA ABULAMO NA UBULANDA BWAKWE
07-200916-171635_bem_c20_elicit_30  CILYA ABANTU BATI BAMUCITE UMULANDU ABALEEMONAKO IFYO IMFUMU YACITILE ABATI AWE IMFUMU INE EYABAALIPEPO
07-200916-171635_bem_c20_elicit_31  KALI KASHIMI KAPELA
07-200916-171635_bem_c20_elicit_32  KALULU AUPA UMWANA WA MFUMU
07-200916-171635_bem_c20_elicit_33  IMFUMU YALIFYELE UMWANA UMWANAKASHI UMUSUMA SAANA
07-200916-171635_bem_c20_elicit_34  ELYO IMFUMU PAKUMONA UMWANA WAIKO AWAMISHA YALATONTONKANYA IFYO INGACITA KUMUNTU UUKAMUPA
07-200916-171635_bem_c20_elicit_35  ELYO YATI ITONTONKANYE AITI CISUMA KANONGANYE ABANTU BANDI BONSE MBEBE IFYO NDINAFYO
07-200916-171635_bem_c20_elicit_36  ABANTU BONSE BALONGANA NA KWISANO
07-200916-171635_bem_c20_elicit_37  ELYO AITI MWE BANTU BANDI BONSE MONEENI INE NAALIFYALA UMWANA UYU 
07-200916-171635_bem_c20_elicit_38  UMUNTU ONSE UULEFWAYA UKUMUUPA KANO AKANWE UBWALWA MUNSUPA YANDI II EKA AKAPWE
07-200916-171635_bem_c20_elicit_39  UBO BWINE BUSHIKU NKAMUPEELA NA UMWANA WANDI UYU
07-200916-171635_bem_c20_elicit_40  ABANTU PAKUMFWA ABATI WE MFUMU CITAFYE LELO LINE
07-200916-171635_bem_c20_elicit_42  ULUCEELO ABANTU BALONGA NA KWISANO
07-200916-171635_bem_c20_elicit_43  IMFUMU YATUBILA NA UBWALWA MUCISUPA ICIKULU SAANA
07-200916-171635_bem_c20_elicit_44  AWE PASOOBOKE NA UMUNTU UMO ATAMPA NA UKUNWA UBWALWA
07-200916-171635_bem_c20_elicit_45  MUKWAI ANWAFYE ICIMENA CEKACEKA NAMAKA YAPWA
07-200916-171635_bem_c20_elicit_46  ATI MUKWAI NAFILWA
