05-200916-145336_bem_a40_elicit_0  MULENJITA KU NG'ANDA YENU 
05-200916-145336_bem_a40_elicit_1  TAMULENJITA KWIBALA LYENU
05-200916-145336_bem_a40_elicit_2  BALETWITA KU KULYA UMULALILO 
05-200916-145336_bem_a40_elicit_3  TABALETWITA KU KULYA UMWIKULO
05-200916-145336_bem_a40_elicit_4  TULEBETA KU MALIILA 
05-200916-145336_bem_a40_elicit_5  TATULEBETA KU BWINGA
05-200916-145336_bem_a40_elicit_6  NGA NACIMWITA NOMBA TAMWACIBAPO 
05-200916-145336_bem_a40_elicit_7  NGA NSHACILEMBA AMUNJEBA
05-200916-145336_bem_a40_elicit_8  NGA MWACITWITA NOMBA TWACIYA KU TAUNI 
05-200916-145336_bem_a40_elicit_9  NGA TAMWACILEMBA INKALATA AMWISHIBA
05-200916-145336_bem_a40_elicit_10  NGA BACIBETA NOMBA TABACIBASANGAPO 
05-200916-145336_bem_a40_elicit_11  NGA TABACIPASA ABALEMBA AMASHINDANO
05-200916-145336_bem_a40_elicit_12  NGA TWACIBETA NOMBA BACIYA KUSUKULU 
05-200916-145336_bem_a40_elicit_13  NGA TATWACILEMBA AMAKALATA AMWISA BWANGU
05-200916-145336_bem_a40_elicit_14  MWAISENI MUKWAI 
05-200916-145336_bem_a40_elicit_15  ENDITA MUKWAI
05-200916-145336_bem_a40_elicit_16  BUSHE NIMWE BANAANI
05-200916-145336_bem_a40_elicit_17  ISHINA LYANDI NINE JOE NDI KAIPEELA MU PEACE CORPS
05-200916-145336_bem_a40_elicit_18  BUSHE PEACE CORPS CINSHI
05-200916-145336_bem_a40_elicit_19  PEACE CORPS KABUNGWE AKAFWILISHA ABANTU MU BUYANTANSHI MU MISANGO IYA PUSANA PUSANA
05-200916-145336_bem_a40_elicit_20  KABILI PEACE CORPS YAKWATA IFIKOMO FITATU ICANTANSHI UKWAFWILISHA IFYALO IFILEKABILA UBUYANTANSHI 
05-200916-145336_bem_a40_elicit_21  ICABUBILI ABENA AMELIKA UKUSAMBILILA INTAMBI SHA BENA ZAMBIA ELYO ICABUTATU 
05-200916-145336_bem_a40_elicit_22  ABENA ZAMBIA UKUSAMBILILA INTAMBI SHA BENA AMELIKAUKUKABUSHANYA INTAMBI 
05-200916-145336_bem_a40_elicit_23  BUSHE MUKAFWILISHA SHANI ABANTU MUNO MUSHI
05-200916-145336_bem_a40_elicit_24  TUKALASAMBILISHANYA NA BANTU IFYAKUSUNGA AMENSHI BWINO NEFYA KUKUULA IFIMBUSU NE FISHIMA
05-200916-145336_bem_a40_elicit_25  BUSHE MUKALAPEELA INDALAMA
05-200916-145336_bem_a40_elicit_26  AWE PEACE CORPS TAITUTUMA KU KUPEELA ABANTU INDALAMA LELO KUKUBAPELA INSHILA ISHAANGUKA ISHAKUISUNGILAMO ISHA PUSANA PUSANA 
05-200916-145336_bem_a40_elicit_27  WILABA MUNE IPINDA ILITILA NGA WAPELA UMUNTU ISABI AKALYA UBUSHIKU BUMO NOMBA NGA WAMULANGA UKULOBA AKALALYA ISABI LYONSE
05-200916-145336_bem_a40_elicit_28  ICO CAWAMA SANA
05-200916-145336_bem_a40_elicit_30  ABANTU ABENGI BATONTONKANYA UKUTI BAKAIPEELA ABAFUMA KU AMELIKA BALIKWATA INDALAMA ICUMA ELYO BALAPELA NA BANTU IFINTU FIMBI IFILETA UBUYANTANSHI MU MISHI
05-200916-145336_bem_a40_elicit_31  NGA KULI ICILILO MUPEPI ABANTU TABAFUMA MU MUSHI ELYO TABAFWILE UKUBOMBA IMILIMO YABO IILI YONSE LELO BAFWILE UKWAFWILISHA MULI FYONSE PACILILO
05-200916-145336_bem_a40_elicit_32  MULEBA ABAIBUKILA KUFYO MULESOSA KUBANTU
05-200916-145336_bem_a40_elicit_33  NDIFYE BWINO BUSHE FINSHI MWACILACITA
05-200916-145336_bem_a40_elicit_34  NACILABELENGA IBUUKU NGA IMWE MWACILACITA 
05-200916-145336_bem_a40_elicit_35  NACILATAMBA TV
05-200916-145336_bem_a40_elicit_36  FINSHI MWATEMWA UKUCITA MU NSHITA YENU
05-200916-145336_bem_a40_elicit_37  NALITEMWA UKOWA UKUTEYA UMUPILA ELYO NO KUBELENGA AMABUUKU NGA IMWE
