03-200923-230549_bem_798_elicit_0  KUTI KWABA UKUTONTONKANYA UKUTI NALIMO UMUNTU UWINGAFWILISHA MU BULWI ALAMONEKELA APA
03-200923-230549_bem_798_elicit_1  NOMBA TWILABA UKUTI ABA BASHILIKA BA MU BENA ISREALI TABALI FYE BABOMFI BAKWA SHAULI NGEFYO GALYATI ALEMONA 
03-200923-230549_bem_798_elicit_2  IYOO ABA BALI MULALO WAKWA LESA WA MWEO 
03-200923-230549_bem_798_elicit_3  KABILI UYU LESA ALACITE FINJELENGWE ILINTU ABANTU BAKWE BAPELELWA 
03-200923-230549_bem_798_elicit_4  ENA ICO ALEFWAYAFYE APA MUNTU UWAMUCETEKANYA MUKUMONA IFINTU UWINGAMONA PAMO NO KUCETEKELA LESA NA MAKA YAKWE UKUCILA UKUTIINA UMUNTU WALUKAKALA
03-200923-230549_bem_798_elicit_5  KABILI LESA ALISANGILE UMUNTU WA MUSANGO UYU  UMULUMENDO UUSHAISHIBIKWE UUSHASAMBILISHIWE MU FYABULWI KABILI TALI MUNKAMBI
03-200923-230549_bem_798_elicit_6  UMUPUSUSHI UWAIBELA
03-200923-230549_bem_798_elicit_7  ONE SAMWELE SEVENTEEN VERSE TWELVE ITWEBO KUTI UYU MULUMENDO WE SHINA LYA DABIDI ALI MWANA WAKWE YESE 
03-200923-230549_bem_798_elicit_8  MUKWIPIFYA ALI NI KASULI UWASULILWE KULI BAMUNYINA BALEMUBOMFWA NGA KACEMA NELYO UWAKUTUMA KABILI TALI NE MIMONEKELE IISUMA 
03-200923-230549_bem_798_elicit_9  LELO LESA AMUSALILE UKUTI ATUMWE KU NCENDE YA BULWI NO KULENGO KUTI AFIKE MU NSHITA GALYATI ALETUMFYA NO KUTINYA ABENA ISRAELI 
03-200923-230549_bem_798_elicit_10  ILYO UMULUMENDO AFWAILISHE UKUPITILA MUKWI PUSHA PA CALECITIKA 
03-200923-230549_bem_798_elicit_11  ELYO AIPEELE KUKULWA NE PAKA LYA MUNTU LILYA EFYO AIPEKENYE ALWILE NO KUCIMFYA ULYA MULWANI UKUBOMFYAFYE ILIBWE LIMO 
03-200923-230549_bem_798_elicit_12  TE PA BUSUMA NATUMONE BWINO 
03-200923-230549_bem_798_elicit_13  BUSHE CINSHI CALENGELE UYU MULUMENDO UKUKWATA AMAKA
03-200923-230549_bem_798_elicit_14  ICINTU ICANTANSHI CAKUTI
03-200923-230549_bem_798_elicit_15  DABIDI ALISAKAMENE ABANTU BAMBI
03-200923-230549_bem_798_elicit_16  NOMBA DABIDI ALEYA NO KUBWELA UKUFUMA KULI SHAULI NO KUYA KUKUCEMA UMUKUNI WAKWA WISHI KU BETELEHEMU
03-200923-230549_bem_798_elicit_17  NELYO ALI ACILI UMWAICE ALISHIBE FINTU ALINGILE UKUCITA 
03-200923-230549_bem_798_elicit_18  ALIIPEELESHE KU KUTANDALILA IMFUMU IYALI NE FILUBO NO BUKALI KUMULANDU WA CIMUPASHI ICAKOWELA 
03-200923-230549_bem_798_elicit_19  ALELISHA AMASESE PA CINSO CA MFUMU IYAKWETE IFYANSO IFYO LIMO LIMO PAMULANDU WA KULWALA YALELASHILAKO ABANTU BAIKO ABALI MUPEPI 
03-200923-230549_bem_798_elicit_20  LELO DABIDI ENA ALEBA MUPEPI MUKUIPYUNGILA ALI UWAMUCINSHI KU BAFYASHI BAKWE KABILI ALI UWACISHINKA MUKUBASUNGILA IFITEKWA
03-200923-230549_bem_798_elicit_21  BUSHE ULATONTONKANYAPO PAMULANDU WAKUCIMFYA AMAFYA AYAKALAMBA PAMO NGO KUCIMFYA ABALWANI BAKWA SHIKULU NO UKUPANGA ICONGO CABUKACIMFYA 
03-200923-230549_bem_798_elicit_22  KUTI WATENDEKELAFYE PAKUSAKAMANA ABAKALAMBA 
03-200923-230549_bem_798_elicit_23  AFWILISHA ABAFYASHI BOBE UKUPITILA MUKUBAPANGILA ILINGA LYAKUSUNGILAMO INKUMBA PAMO NO KUBATWALILAKO AMATABA KU CISANKANO 
03-200923-230549_bem_798_elicit_24  AFWILISHA INTUNGULUSHI SHA MU CILONGANINO PAMO NA MU MUSHI WIKALA
03-200923-230549_bem_798_elicit_25  NALIMO KUTI CAKUTENDUSHA LELO IYI E MILIMO IYALENGELE DABIDI UKUSOSELWE CISUMA
03-200923-230549_bem_798_elicit_26  KUMFWA NGA CAKUTI ULEFWAYA UKUCIMFISHA KU FYANSO FYABULWI UKUBIKAPO NO KUSANSABIKWA PAMO NGA BAMUNYINA BAKWA DABIDI 
03-200923-230549_bem_798_elicit_27  MU MULALO WAKWA SHAULI LYENA UKAFILWA KU MULANDU WA MWENSO ILINTU UMULWANI AKAFIKA 
03-200923-230549_bem_798_elicit_28  TAWAKASHIPIKISHE NAKALYA
03-200923-230549_bem_798_elicit_29  DABIDI TALEFWAISHA UBU BULWI
03-200923-230549_bem_798_elicit_30  MUKATI KA CILONGANINO COBE MWALIBA ABANTU ABALUMBULWA MU FYAKUPUSANA NA BANABO
03-200923-230549_bem_798_elicit_31  KONSE KUNTU BASANGWA BALAKWATA IFYAKUPUSANINAPO NABANABO 
03-200923-230549_bem_798_elicit_32  NELYO BENGOFWIKA ABAMUSHILO TABAIMININA NGA DABIDI LELO BABA NGA GALYATI
03-200923-230549_bem_798_elicit_33  GALYATI ALEFWAILISHA UBULWI UKUFIKA PA NSHITA ALASHILWE ILIBWE  
03-200923-230549_bem_798_elicit_34  LELO DABIDI ATUMINWEFYE KU BULWI UKUPITILA MU KUMULONDOLWELA IFYALECITIKA
03-200923-230549_bem_798_elicit_35  NGA CAKUTI UBWAFYA PAMO NGE NKALAMO NELYO BELE ASANSA UMUKUNI LYENA ALELWA 
03-200923-230549_bem_798_elicit_36  TALEFWALISHA UBULWI 
03-200923-230549_bem_798_elicit_37  LEKA CIBE UKUTILA ILINTU WASANGWA MUKUPUSANA NA BANTU BAMBI TE IWE UFITENDEKE
03-200923-230549_bem_798_elicit_38  NELYO LESA ALACITA UBULWI ILINTU KASEBANYA ALEFWAYA UKONAULA ABENA KRISTU ABA NI LESA WAMUTENDE 
03-200923-230549_bem_798_elicit_39  ULINGILE UKULABA PAMO NGA DABIDI TEKWESHA UKUPALANA NA GALYATI
03-200923-230549_bem_798_elicit_40  DABIDI AIPWISHE AMEPUSHO PAKUTI OMFWIKISHE IFISHINKA PALI BULYA UBWAFYA
03-200923-230549_bem_798_elicit_41  NGA CAKUTI WAUMFWA PALWA BWAFYA CAMANO UKUFWAILISHA 
03-200923-230549_bem_798_elicit_42  BANTU NSHI BAMBI ABESHIBE NELYO KULUMBULWA MULI UBU BWAFYA 
03-200923-230549_bem_798_elicit_43  BUSHE BALANDILEPO SHANI 
03-200923-230549_bem_798_elicit_44  BUSHE FINTU NSHI FINGAFUMA MU MUSANGO TWALASENDELAMO UBU BWAFYA 
03-200923-230549_bem_798_elicit_45  BUSHE ABANTU ABALI MULI UBU BWAFYA BALETONTONKANYAPO SHANI 
03-200923-230549_bem_798_elicit_46  ILINGI CISUMA UKWIPUSHA AMEPUSHO PA MULANDU WA BWAFYA MU KUKONKANA NE LYASHI ILYO TAULAPEELA UBWAFWILISHO
03-200923-230549_bem_798_elicit_47  DABIDI AMWENA MULI BU LESA
03-200923-230549_bem_798_elicit_48  ELYO DABIDI APALANYA IFINTU AUMFWILE UKUPITILA MUKWIPUSHA ABANTU NE FINTU AIMWENENE UMWINE
03-200923-230549_bem_798_elicit_49  PAMO NGA SHAULI DABIDI AMWENE IPAKA LILEISA KU MULALO WA BENA ISRAELI KABILI LYALEBATINYA NO KUBATUMFYA 
03-200923-230549_bem_798_elicit_50  DABIDI AMWENE ILI PAKA MULI BU LESA UKUTI MU PELISHITI USHASEMBULWA 
