03-200921-105818_bem_798_elicit_0  BUSHE KUTI MWAICINGILILA SHANI KU BULWELE BWA KOLONAVAILASI TWENTY NINETEEN
03-200921-105818_bem_798_elicit_1  SAMBENI KU MINWE LIBILILIBILI UKUBOFYA ISOPO NA MENSHI AYABUSAKA
03-200921-105818_bem_798_elicit_2  NGA TAMUKWETE ISOPO NA MENSHI BOMFYENI UMUTI WA KUSUBA KU MINWE UWIPAYA UTUSHIISHI
03-200921-105818_bem_798_elicit_3  TAMUFWILE UKUPALAMA ABANTU ABAKWETE IFILANGILILO NE FISHIBILO FYA MALWELE AYAFULUNGANYA IMIPEMENE PAMO NGA UKUKOOLA NO KUTESULA
03-200921-105818_bem_798_elicit_4  TAMUFWILE UKWIKATA MU MENSO MU MOONA NA MU KANWA UKWABULA UKUSAMBA KU MINWE
03-200921-105818_bem_798_elicit_5  BOMFYENI MUKATI KA KABOOYO APAPETAMINA UKUPOKO UKUFIMBA PA KANWA NA PA MOONA PA KUKOOLA NO KUTESULA ATEMWA KUTI MWABOMFYA TIISHU
03-200921-105818_bem_798_elicit_6  IPIKISHENI INAMA NE FYAKULYA FIMBI IFIFUMA KU NAMA ILYO TAMULAFILYA
03-200921-105818_bem_798_elicit_7  TAMUFWILE UKWIKATA IFITEEKWA IFITUNTULU NE NAMA SHA MPANGA ISHITUNTULU UKWABULA UKUFWALA IFYAKUICINGILILA KU MINWE
03-200921-105818_bem_798_elicit_8  TAMUFWILE UKUFWISA AMATE MU NCENDE YA CINTUBWINGI
03-200921-105818_bem_798_elicit_9  ABABOMFI BA MU FIPATALA BONSE BAFWILE UKUKONKA INSHILA SHASUMINISHIWA ISHA KUICINGILILAMO KU MALWELE 
03-200921-105818_bem_798_elicit_10  TAMUFWILE UKUYA PA BULENDO NGA TAMULEUMFWA BWINO
03-200921-105818_bem_798_elicit_11  TAMUFWILE UKUYA KU NCENDE UKWABA UBULWELE BWA KOLONAVAILASI NGA CAKUTI UBULENDO TABUPAMFISHE SAANA
03-200921-105818_bem_798_elicit_12  BUSHE KWALIBA UMUTI WA KUNDAPA UBULWELE BWA KOLONAVAILASI TWENTY NINETEEN
03-200921-105818_bem_798_elicit_13  TAKWABA UMUTI WA BULWELE BWA KOLONAVAILASI TWENTY NINETEEN
03-200921-105818_bem_798_elicit_14  LELO ABANTU ABAKWETE IFILANGILILO NE FISHIBILO FYA UBU BULWELE BAFWILE UKUYA KU CIPATALA ICILI MUPEPI ILYOLINE FYE PAKUTI BENGAYA BONDAPAKO
03-200921-105818_bem_798_elicit_15  BUSHE KWALIBA UMUTI WA KUCINGILILA ABANTU KU BULWELE BWA KOLONAVAILASI
03-200921-105818_bem_798_elicit_16  PALI NDAKAI TAKULABA UMUTI WA KUCINGILILA ABANTU KU BULWELE BWA KOLONAVAILASI 
03-200921-105818_bem_798_elicit_17  INSHILA IISUMA IYAKUICINGILILAMO KULI UBU BULWELE KUUKONKA FYE INSHILA SHAPEELWA ISHAKUICINGILILAMO
