05-200917-085055_bem_a40_elicit_0  PATILE AKANTU 
05-200917-085055_bem_a40_elicit_1  KWALI UMUNTU UMO ISHINA LYAKWE NI CHOMBA NSANGWA AIKELE EKA PA MUTANDA NA MWANE  
05-200917-085055_bem_a40_elicit_2  UYU MUNTU ALEPEPA SANA IBANGE 
05-200917-085055_bem_a40_elicit_3  KUTI NGA ALIFOKOLA MUKWAI NINSHI CAPESHA NA MANO
05-200917-085055_bem_a40_elicit_4  UBUSHIKU BUMO MWANE ALIPWISHE UKUTILA 
05-200917-085055_bem_a40_elicit_5   KANSHI TATA IFYO MUPEPA LYONSEFYE FINSHI 
05-200917-085055_bem_a40_elicit_6  WISHI ATILE  FYAMBA MWANA WANDI  
05-200917-085055_bem_a40_elicit_7  NGA NAFWA NAIWE WINE EFINTU UKALAPEPA  
05-200917-085055_bem_a40_elicit_8  TAUMWENE INE NA IKALAFYE NEKA PA MITANDA
05-200917-085055_bem_a40_elicit_9  ELYO AEBELE MWANE UKUTILA 
05-200917-085055_bem_a40_elicit_10  TWENDE NJE NKULANGE UMO NABYALA ICAMBA
05-200917-085055_bem_a40_elicit_11  ILYO BAFIKILE BASANGILE INAMA NASHIFUNAULA 
05-200917-085055_bem_a40_elicit_12  UMUTIMA WALIKALIPE  
05-200917-085055_bem_a40_elicit_13  ALI ILISHENYE EBELE 
05-200917-085055_bem_a40_elicit_14  NE SEMBE NSHAKWATA NGA NASHI KONKA ISHI NAMA NOMBA CISUMA NKANJE KU MUSHI WA BANTU NJE NJASHIMEKO ISEMBE 
05-200917-085055_bem_a40_elicit_15  NINSHI ABE NASENDA NE SABI LYAKWE AFIKA PA MUSHI MUKWAI ATULA NE SABI NGA FILYA  
05-200917-085055_bem_a40_elicit_16  ALA ASHIMA NE SEMBE KU BANANKWE ABALI PA NSAKA 
05-200917-085055_bem_a40_elicit_17  KANSHI UKU KWISABI NALYO IMBWA EPO YAPONA YATUTWILA 
05-200917-085055_bem_a40_elicit_18  AISA TULUMUKA EBELE YANGU  YANGU NE MWINE ISABI LYANDI  
05-200917-085055_bem_a40_elicit_19  KABILI NJIKALA PA MITANDA EKA MUNANI NSHINTILILEMO MULEMPELAFYE ISABI NE MWINE  
05-200917-085055_bem_a40_elicit_20  MULEMPELELAMOFYE PA KASHITA KENE KANO  
05-200917-085055_bem_a40_elicit_21  NABO BEBELE AWE MUNE ISABI TATWALIMONE KANSHI SENDAFYE IMBWA INE IYOO 
05-200917-085055_bem_a40_elicit_22  AWE AKULIKA NE MBWA  
05-200917-085055_bem_a40_elicit_23  NOKUYA ALAYA KU MUSHI UMBI
05-200917-085055_bem_a40_elicit_24  KULYA NAKO ALAIPUSHA EBELE NAISA BANE KU KWASHIMA ISEMBE  
05-200917-085055_bem_a40_elicit_25  UMO ACILI ALELANDA ING'OMBE NAYO UKU MUKWAI PA KUMFWA ICIWOWO CA MBWA YAISA LEKA NAKWI BONDO UKUTILA NAPA MYONA NA MPAAA  
05-200917-085055_bem_a40_elicit_26  AWE IMBWA YANYUSA NOKULU
05-200917-085055_bem_a40_elicit_27  UMWINE EBELE 
05-200917-085055_bem_a40_elicit_28  YANGU YANGU YANGU NE MWINE MWA NJIPAILA IMBWA KANSHI NE SEMBE LYENU NALIBE 
05-200917-085055_bem_a40_elicit_29  MULEMPELELAMOFYE ILYA INE IMBWA YANDI FILYA FINE YALI 
05-200917-085055_bem_a40_elicit_30  ABANTU BEBELE OHO TATWAIMONE IMBI MUMPENIFYE ING'OMBE INE 
05-200917-085055_bem_a40_elicit_31  AWE NELYANDYA NELYA BUSHE AKAKA NE NG'OMBE YAKWE  
05-200917-085055_bem_a40_elicit_32  CHOMBA NSANGWA ALAYA NAKU MITANDA KU MWAKWE                                                                                                                                        
05-200917-085055_bem_a40_elicit_33  ABULILE ING'OMBE MUKWAI AIPOSA NAPE LUNGU YALALYA 
05-200917-085055_bem_a40_elicit_35  YATI NOKUTI BANTU BANDI SHALENI PANO NJE NDASE INSEFU ILYA PE LUNGU  
05-200917-085055_bem_a40_elicit_36  EPO YAKWESEKELA IMFUMU PE LUNGU KUTI FYAPYA ALA MUKWAI YALEKAKO NAKU MUSHINDO NE NG'OMBE YAPONA NA FILYA
05-200917-085055_bem_a40_elicit_37  CHOMBA NSANGWA ASHIMONA EBELE 
05-200917-085055_bem_a40_elicit_38  YANGU YANGU NE MULANDA CINE CINE BANJIPAILA ING'OMBE YANDI  
05-200917-085055_bem_a40_elicit_39  AWE MWE MFUMU MULEMPELELAMOFYE ING'OMBE YANDI NE MWINE IYABAFYE FILYA FINE YALI
05-200917-085055_bem_a40_elicit_40  IMFUMU YEBELE 
05-200917-085055_bem_a40_elicit_42  NAO CHOMBA NSANGWA AKANA EBELE AWE NDEFWAYAFYE ILYA INE  
05-200917-085055_bem_a40_elicit_43  IMFUMU NAYO AITI 
05-200917-085055_bem_a40_elicit_44  KANSHI NKAKUPELEKOFYE MBA UMUSHI UYU OBE NE FITEKWA FYONSE FYOBE PAMO NA BANTU BOBE BONSEFYE ABA BOBE
05-200917-085055_bem_a40_elicit_45  UMUNTU ULYA EBELE CAWAMA KANABESA   
05-200917-085055_bem_a40_elicit_46  BWAISACA CHOMBA NSANGWA ATUMINE ABANTU BAKWE UKUYA IPAYA INKALAMO AWE BALIPEYE BAFUNDAKO NO MUKUPO BA MULETELA 
05-200917-085055_bem_a40_elicit_47  ABEBELE KABILI UKUTI 
05-200917-085055_bem_a40_elicit_48  ALENI MUFWIKE UYU MUKUPO KULI SAWE MU MUBILILE ALEMONEKAFYE NGE NKALAMO MUKUTI ALEBOBWELA IMBUSHI SHANDI BWINO  
05-200917-085055_bem_a40_elicit_49  AWE BACITILE NGEFYO FINE
