01-200922-003122_bem_d31_elicit_0  BAKABELENGA BALEKABILA UKULENGA BAFWAISHA UKWISHIBA IFILI MWILYASHI UKUPITILA MUFYO BAMONA
01-200922-003122_bem_d31_elicit_1  NANGU UBUPILIBULO BWE SAMBILILO BULEFWAIKWA UKWENDELAPAMO NE CIKOPE ICISUMA ICILEPELA UBULONDOLOSHI 
01-200922-003122_bem_d31_elicit_2  EICO TULEFWAYA BAKALENGA ICANTANSHI PALI FYONSE NI ABO BENGALENGA ICIKOPE ICINGA PULITWA MWILANGI LIMO
01-200922-003122_bem_d31_elicit_3  UKULINGANA NEFIKOMO FYA IYI MAGAZINE BALINGILE
01-200922-003122_bem_d31_elicit_4  UKUBA BAMEMBALA BAPIMPA MU CILONGANINO CA CHRISTIAN BRETHREN CHURCH NANGU ICILONGANINO CIMBI ICA EVANGELICAL CHURCH ICA ISHIBIKWA
01-200922-003122_bem_d31_elicit_5  ABENGATEMWA UKU LOLESHA PA MILIMO YABO MULI IYI MAGAZINE NGE YAKUPEELAFYE KUBUFUMU BWAKWA LESA 
01-200922-003122_bem_d31_elicit_6  UKULUNDAPOFYE PACISHINKA CAKUTI IFILENGO FYABO FIKALAENDELAPAMO NA MASHINA YABO IFILAMBU FIMBI FIKALIPILWA MU MULU
01-200922-003122_bem_d31_elicit_7  UKUSUMINISHA UKUTI CILI MU MAKA YABALELOLEKESHA PALI IYI MAGAZINE UKUSALA NGA CAKUTI BENGA BIKAMO ICILENGO CENU NE NSHITA BATEMWA ABENE UKUBIKAMO ICILENGO ICILI CONSE
01-200922-003122_bem_d31_elicit_8  NGA MULEKABILA UKUSENDAMO ULUBALI MULI UKU KUCIMFYANYA TUMENI IFILEFWAIKWA APA PESAMBA KULI BA EDITOR UKUSHINTA PA THIRTY JUNE TWO THOUSAND AND NINE
01-200922-003122_bem_d31_elicit_9  IFILENGO 
01-200922-003122_bem_d31_elicit_10  PA FINTU IFICITIKA MU MUSHI NANGU MWIBALA
01-200922-003122_bem_d31_elicit_11  ICIKOPE CILELANGISHA PE LYASHI ILI LYONSE ILYO MWASALAPO UKUFUMA MULI MARKO CHAPITA ONE UKUSHINTA KU CHAPITA TEN
01-200922-003122_bem_d31_elicit_12  ICIKOPE CAMUTWE WA MUNENU UYO MWAISHIBANA NANKWE BWINO BWINO
01-200922-003122_bem_d31_elicit_13  KALATA WAKUMISUMINISHA UKUFUMA KUNTUNGULUSHI SHA LUKUTA LUNTU MULONGANAKO
01-200922-003122_bem_d31_elicit_14  IFYOTWINGA MISHIBILAKO 
01-200922-003122_bem_d31_elicit_15  AMASHINA IMYAKA AKEYALA NE NAMBALA YA MUSANGE WENU IFYO MUCITA MUBWIKASHI BWENU IFYO MWATEMWISHA MU MILIMO YENU IYAKULENGA
01-200922-003122_bem_d31_elicit_16  CALI NI PABUSHIKU BWA ELEVEN JUNE TWO THOUSAND AND EIGHT ILYO MUKE TE SHINA LYA CINE ABUKILE ALEUMFWA KWATI CALO CALAMUPWILA
01-200922-003122_bem_d31_elicit_17  MUKE ALI MULUMENDO NA BAKASHI KABILI ALEBOMBE NCITO IISUMA 
01-200922-003122_bem_d31_elicit_18  IMIKALILE YAKWE PANGANDA YALI BWINO ICO ALIKWETE NDALAMA 
01-200922-003122_bem_d31_elicit_19  LELO TAISHIBE UKUTI MU MWEO WAKWE ALEKABILO WAKUMWAFWA PAMO NO KUMUCINGILILA
01-200922-003122_bem_d31_elicit_20  PALI UBU BUSHIKU BULUMBWILWE ASANTAMWIKE PAKATI KABUSHIKU 
01-200922-003122_bem_d31_elicit_21  UMUKASHI WAKWE ALETUTUMA NO KUPIBA ICAKUTI ALEFILWA UKULANDA ALEALAULA FYE AMABOKO UKULANGO KUTI ALEKABILO BWAFWILISHO 
01-200922-003122_bem_d31_elicit_22  MUKE AFUMINE MUBUSANSHI NO KUTENDEKO KUFWAYE NSHILA YAKUTWALILAMO MUKASHI KU CIPATALA 
