03-200921-160552_bem_798_elicit_0  UMUTITIKISHA WAMU NDUPWA NAMU MAYANDA
03-200921-160552_bem_798_elicit_1  MU CALO CA AUSTRALIA UMUTITIKISHA WAMU NDUPWA NAMU MAYANDA TAWASUMINISHIWA
03-200921-160552_bem_798_elicit_2  UMUTITIKISHA WAMU NDUPWA NAMU MAYANDA MILANDU YABUMPULA MAFUNDE
03-200921-160552_bem_798_elicit_3  UMUNTU UWACITA IYI MILANDU KUTI AYA KUCIFUNGO CIBE MWAUME NANGU MWANAKASHI
03-200921-160552_bem_798_elicit_4  NGACAKUTI IMWE NANGU UMUNTU UMBI UNTU MWAISHIBA ALI MU BUSANSO TUMINENI BA KAPOKOLA PALI ZERO ZERO ZERO
03-200921-160552_bem_798_elicit_5  BA KAPOKOLA MU CALO CA AUSTRALIA BANTU ABASUMA KABILI ABACETEKELWA
03-200921-160552_bem_798_elicit_6  NGAMULEFWAYA BU MPANDA MANO UBWA LUTU KABILI UBWA NKAMA TUMMINENI BA ONE EIGHT ZERO ZERO RESPECT PA ONE EIGHT ZERO ZERO SEVEN THREE SEVEN SEVEN THREE TWO
03-200921-160552_bem_798_elicit_7  NGACAKUTI MULEFWAYA UWAKUMIPILIBWILAKO ICITUNDU TUMENI PA ONE THREE ONE FOUR SEVEN ZERO
03-200921-160552_bem_798_elicit_8  UBUTEKO BWA CALO CA AUSTRALIA AUSTRALIAN GOVERNMENT TABUSUMINISHA UMUTITIKISHA WAMU NDUPWA NAMU MAYANDA NANGU CINGABA SHANI
03-200921-160552_bem_798_elicit_9  UMUTITIKISHA WAMU NDUPWA NAMU MAYANDA MULASANGWA IMISANGO NANGU ICINTINYA IFIMININA PAKUPINDULULA UMUNOBE
03-200921-160552_bem_798_elicit_10  UKUPITILA MUKUMULETELA UMWENSO NANGU UKUMONAWILA UBUCINGO 
03-200921-160552_bem_798_elicit_11  IFISANGWA MULI UYU MUTITIKISHA NIFI
03-200921-160552_bem_798_elicit_12  UKUUMA
03-200921-160552_bem_798_elicit_13  UKUKAMA PAMUKOSHI
03-200921-160552_bem_798_elicit_14  UKUTANA UMUNOBE NANGU LUPWA INDALAMA SHAKUBOMFYA
03-200921-160552_bem_798_elicit_15  UKUTALUSHA UMUNOBE KU FIBUSA NANGU KU LUPWA
03-200921-160552_bem_798_elicit_16  UKUTUKANA NANGU UKUKONKANYAPOFYE UKUSUUSHA UMUNOBE
03-200921-160552_bem_798_elicit_17  UKUPATIKISHA UMUNOBE UKUPANGA ICUPO ELYO NA
03-200921-160552_bem_798_elicit_18  UKUTIINYA ABAICE NANGU IFITEEKWA
03-200921-160552_bem_798_elicit_19  ABANAKASHI BAKWATA INSAMBU SHIMO SHINE NGA ABAUME
03-200921-160552_bem_798_elicit_20  AMAFUNDE MU CALO CA AUSTRALIA TAYAKWATA AKAPATULULA PAKATI KA BANAKASHI NA BAUME
03-200921-160552_bem_798_elicit_21  UMUNTU ONSE ALIKWATA INSAMBU SHAKUKWATA UBWAMPANO UBUSUMA KABILI UBWACINGILILWA NO LUPWA LWAKWE IFIBUSA NA BATEMWIKWA BAKWE 
03-200921-160552_bem_798_elicit_22  UMUTITIKISHA TAWAWAMA IYO 
03-200921-160552_bem_798_elicit_23  TAKULI UMUNTU NANGU UMO UULINGILE UKUSUMINISHA UKUMUCUSHA NANGU UKUMUCENA
03-200921-160552_bem_798_elicit_24  MWALIBA UTUBUNGWE UTUBOMBELA KU LYASHI LYA NDUPWA MU CALO CA AUSTRALIA UTWINGAFWILISHA
03-200921-160552_bem_798_elicit_25  ONE EIGHT ZERO ZERO RESPECT KABUNGWE KAMU CALO CA AUSTRALIA AKABOMBELA MUKUPANDA AMANO MU MILANDU YA KULUNGANA NABANTU KU MAKA ELYO NO BUNKALWE NO MUTITIKISHA MU MAYANDA 
03-200921-160552_bem_798_elicit_26  AKA KABUNGWE KALAPELAKO ILYASHI LYA BUMPANDA MANO ILYA LUTU KABILI ILYA NKAMA PALI LAMYA ELYO NAPA INTANETI 
03-200921-160552_bem_798_elicit_27  BA MPANDAMANO BAKOMFWA KULI FINTU MULELANDA UKWASUKA AMEPUSHO YENU ELYO NOKUMITUMA KUMBI UKO MWINGASANGA UBWAFWILISHO MU NCENDE YENU
