03-201002-051828_bem_798_elicit_0  BATILA SUMBU LYANDI LAALA TUMONE IMILILE YABAKAYA
03-201002-051828_bem_798_elicit_1  ULUBULI TEELO NEMISOKA YONSE YAKUTALUKA SAANA
03-201002-051828_bem_798_elicit_2  ILYO KWABA UKUNWA UBWALWA BWAKUTUFISHAPO AWE NAUMFWA ABAKULU ABATI KATWAMBEKO PANTU TAFILYA WENDA
03-201002-051828_bem_798_elicit_3  MUKWENDA ILYO TWATENDEKE ULWENDO TWALEENDA FYE BWINO ELYO NOKUTANGATWA NABANTU BWINO BWINO
03-201002-051828_bem_798_elicit_4  TWAPITILE PA MUNACHANGA UKUFUMA PLAYA TWAENDELE NGENJILI TWAPITA MUMPANGA IYAFINA UMO TWAKUMENYEFYE ABANTU BATATUFYE ABALEEYA UKO TWAFUMINE
03-201002-051828_bem_798_elicit_5  TWAYAFIKA PALI MWINE MUSHI UMBI ASENDA ABAKULU MUKUNWA UBWALWA INE NASHAALA 
03-201002-051828_bem_798_elicit_6  BANAKASONDE BAMONA NINGUMA KUKANWA AWE BATALA BAMPELA UTUMUPUNGA NENYANJE SHIBILI NALYA NAUMFWA NOTUMAKA TWAISA
03-201002-051828_bem_798_elicit_7  ILYO TWALEELE APA NALOTELE TWAFIKA PACIMANA ICIKULU ABANTU BALETA AKABWATO AKAFYE FYE AKAMPENUMPENU KABWATO
03-201002-051828_bem_798_elicit_8  ABATI NINENI AWE TWANINA KUTI UKUFIKA PAKATI AWE NEMFUBU YAISA PANDULA KABWATO BONSE TWAWILA NAMUMENSHI UMUKUKU NAO WATUSENDA UKU NOKU
03-201002-051828_bem_798_elicit_9  ILYO TWALEEYA TWAIKATWA NABAMBULUMATALI ABABUFI AWE BALANGAULA ABAKALAMBA AMAPI BAIPIKA NAFWAKA ATI TULYE NOMBA NATILE KUSAIDI AWE BANSUMINISHA 
03-201002-051828_bem_798_elicit_10  EFYO KULYA NAILELISHA FINTU NATOLELE MUNSHILA EFYO BONSE BABUTUKILEKO NAISA FYUFYUTUKA NAEBA AKAKULU UKUTI TIYENI 
03-201002-051828_bem_798_elicit_11  EFYO TWAILE NOMBA BAISA TUKONKA KUCESHUKO BAISABEKATA KULI BAKABOKE BACISHINKA PANTU NABO BALEBAFWAYA ICO BATEKELE ABANTU KU KALILI
03-201002-051828_bem_798_elicit_12  TWAFIKA MUNDOLA
03-201002-051828_bem_798_elicit_13  ILYO TWAFIKILE KU NDOLA ABAKALAMBA BAINGILA INCITO NAINE NAINGILA IYAKUWAMYA AMALUBA NOKWIPIKA
03-201002-051828_bem_798_elicit_14  AMALIPILO TAYALI SAANA
03-201002-051828_bem_798_elicit_15  INCITO BALEPELA SHACIWELEWELE NANGU WINGACENJELA NGO WAIFYELE UKUCENJELA UKUNYA UKUCENJELA SAANA 
03-201002-051828_bem_798_elicit_16  BATILA UKO WATANGISHA INSOMO TAKWAFYA KUBUKA
03-201002-051828_bem_798_elicit_17  BALI NOKULAMPELA AMALIPILO SEVEN SIX AUBA WAMUSONKO NGAWATALIKE NA TEN
03-201002-051828_bem_798_elicit_18  BANANGA MUNKUNGULUME
03-201002-051828_bem_798_elicit_19  BANANGILE MU NGANADA NAMBA ONE FORTY FOUR  
03-201002-051828_bem_798_elicit_20  APA PAALI UMUNANDI PELEKEZANI
03-201002-051828_bem_798_elicit_21  UMU MUNGANADA ABANTU BALETEYELAMO SAANA INJUKA
03-201002-051828_bem_798_elicit_22  JOHN ALAALA NAMUKA MWINE AWE UMULUME AISA MUMA ICABIPISHA AMUKONKA NA KUCIPATALA KWINE NAKO AYATINTA KUKUULU BAMUKAKILILE MUCIPATALA
03-201002-051828_bem_798_elicit_23  BALUME BAKWA MAYO CIWANANGALA EBAPINGWILE IMILANDU YAKWA JOHN CHALINKONKA NOKUMULIPILISHA FIVE POUNSHI 
03-201002-051828_bem_798_elicit_24  IMILANDU YAMUSANGO UYU MU NDOLA ONE FORTY ONEMU MUFULIRA ONE SIXTY ONEMUKITWE 182ONE EIGHTY TWOMUCHINGOLA SEVENTY TWO NA MU LUANSHYA ONE FIFTY FIVE
03-201002-051828_bem_798_elicit_25  UBUCENDE PATATU
03-201002-051828_bem_798_elicit_26  ABANAKASHI BALEULA NABASUNGU ENCITO NABO BALEKWILA
03-201002-051828_bem_798_elicit_27  BUKAPENTA ABA BAKAPENTA KUTI BAYANGALA NOMUSUNGU NANGU UMUTIFI MUNABO
03-201002-051828_bem_798_elicit_28  ABANAKASHI ABAUPWA NOKUBOOMBA NOMBA AMALIPILO YACEPA KUCITA UBUULE UBUCENDE PAKUTILA IMPIYA SHINGAFULA
03-201002-051828_bem_798_elicit_29  ABASUNGU TABASAKAMANA
03-201002-051828_bem_798_elicit_30  UKUFYALA ABANA ABO BASHAKASUNGE
03-201002-051828_bem_798_elicit_31  UBUCE BWAMAYANDA BULEETA UBUPULUMUSHI
